Cristofaro, Sonia. 2011. Purpose Clauses.
In: Dryer, Matthew S. & Haspelmath, Martin (eds.)
The World Atlas of Language Structures Online.
Munich: Max Planck Digital Library, feature 125A.
Available online at http://wals.info/feature/125A
Accessed on 2013-11-05.

wals code	name	value	description	latitude	longitude	genus	family	area
ace	Acehnese	1	Balanced	5.500	95.500	Malayic	Austronesian	Complex Sentences
ain	Ainu	1	Balanced	43.000	143.000	Ainu	Ainu	Complex Sentences
arp	Arapesh (Mountain)	1	Balanced	-3.467	143.167	Kombio-Arapesh	Torricelli	Complex Sentences
bkr	Batak (Karo)	1	Balanced	3.250	98.250	Sumatra	Austronesian	Complex Sentences
cle	Chinantec (Lealao)	1	Balanced	17.333	-95.917	Chinantecan	Oto-Manguean	Complex Sentences
mnd	Mandarin	1	Balanced	34.000	110.000	Chinese	Sino-Tibetan	Complex Sentences
dre	Drehu	1	Balanced	-21.000	167.250	Oceanic	Austronesian	Complex Sentences
fij	Fijian	1	Balanced	-17.833	178.000	Oceanic	Austronesian	Complex Sentences
gua	Guaraní	1	Balanced	-26.000	-56.000	Tupi-Guaraní	Tupian	Complex Sentences
hmo	Hmong Njua	1	Balanced	28.000	105.000	Hmong-Mien	Hmong-Mien	Complex Sentences
ind	Indonesian	1	Balanced	0.000	106.000	Malayic	Austronesian	Complex Sentences
juh	Ju|'hoan	1	Balanced	-19.000	21.000	Northern Khoisan	Khoisan	Complex Sentences
kay	Kayardild	1	Balanced	-17.050	139.500	Tangkic	Australian	Complex Sentences
kmu	Khmu'	1	Balanced	21.000	102.000	Palaung-Khmuic	Austro-Asiatic	Complex Sentences
kho	Khoekhoe	1	Balanced	-25.500	18.000	Central Khoisan	Khoisan	Complex Sentences
klv	Kilivila	1	Balanced	-8.500	151.083	Oceanic	Austronesian	Complex Sentences
kor	Korean	1	Balanced	37.500	128.000	Korean	Korean	Complex Sentences
lkt	Lakhota	1	Balanced	43.833	-101.833	Siouan	Siouan	Complex Sentences
lnd	Linda	1	Balanced	6.500	20.750	Ubangi	Niger-Congo	Complex Sentences
wma	West Makian	1	Balanced	0.500	127.583	North Halmaheran	West Papuan	Complex Sentences
mal	Malagasy	1	Balanced	-20.000	47.000	Barito	Austronesian	Complex Sentences
mku	Maranungku	1	Balanced	-13.667	130.000	Western Daly	Australian	Complex Sentences
may	Maybrat	1	Balanced	-1.333	132.500	North-Central Bird's Head	West Papuan	Complex Sentences
mxc	Mixtec (Chalcatongo)	1	Balanced	17.050	-97.583	Mixtecan	Oto-Manguean	Complex Sentences
mna	Muna	1	Balanced	-5.000	122.500	Sulawesi	Austronesian	Complex Sentences
nun	Nung (in Vietnam)	1	Balanced	21.917	106.417	Kam-Tai	Tai-Kadai	Complex Sentences
pai	Paiwan	1	Balanced	22.500	120.833	Paiwanic	Austronesian	Complex Sentences
saw	Sawu	1	Balanced	-11.500	121.917	Central Malayo-Polynesian	Austronesian	Complex Sentences
sml	Semelai	1	Balanced	3.000	103.000	Aslian	Austro-Asiatic	Complex Sentences
sla	Slave	1	Balanced	67.000	-125.000	Athapaskan	Na-Dene	Complex Sentences
som	Somali	1	Balanced	3.000	45.000	Eastern Cushitic	Afro-Asiatic	Complex Sentences
tab	Taba	1	Balanced	0.000	127.500	South Halmahera - West New Guinea	Austronesian	Complex Sentences
tin	Tinrin	1	Balanced	-21.667	165.750	Oceanic	Austronesian	Complex Sentences
tpi	Tok Pisin	1	Balanced	-9.500	147.167	Creoles and Pidgins	other	Complex Sentences
vie	Vietnamese	1	Balanced	10.500	106.500	Viet-Muong	Austro-Asiatic	Complex Sentences
war	Wari'	1	Balanced	-11.333	-65.000	Chapacura-Wanham	Chapacura-Wanham	Complex Sentences
yaq	Yaqui	1	Balanced	27.500	-110.250	Cahita	Uto-Aztecan	Complex Sentences
yor	Yoruba	1	Balanced	8.000	4.333	Defoid	Niger-Congo	Complex Sentences
abk	Abkhaz	2	Balanced/deranked	43.083	41.000	Northwest Caucasian	Northwest Caucasian	Complex Sentences
ame	Amele	2	Balanced/deranked	-5.250	145.583	Madang	Trans-New Guinea	Complex Sentences
any	Anywa	2	Balanced/deranked	8.000	33.500	Nilotic	Nilo-Saharan	Complex Sentences
arg	Arabic (Gulf)	2	Balanced/deranked	26.000	49.000	Semitic	Afro-Asiatic	Complex Sentences
sng	Sinaugoro	2	Balanced/deranked	-9.833	147.833	Oceanic	Austronesian	Complex Sentences
brh	Brahui	2	Balanced/deranked	28.500	67.000	Northern Dravidian	Dravidian	Complex Sentences
eng	English	2	Balanced/deranked	52.000	0.000	Germanic	Indo-European	Complex Sentences
akn	Akan	2	Balanced/deranked	6.500	-1.250	Kwa	Niger-Congo	Complex Sentences
fin	Finnish	2	Balanced/deranked	62.000	25.000	Finnic	Uralic	Complex Sentences
geo	Georgian	2	Balanced/deranked	42.000	44.000	Kartvelian	Kartvelian	Complex Sentences
ger	German	2	Balanced/deranked	52.000	10.000	Germanic	Indo-European	Complex Sentences
goo	Gooniyandi	2	Balanced/deranked	-18.333	126.333	Bunuban	Australian	Complex Sentences
heb	Hebrew (Modern)	2	Balanced/deranked	31.500	34.833	Semitic	Afro-Asiatic	Complex Sentences
iri	Irish	2	Balanced/deranked	53.000	-8.000	Celtic	Indo-European	Complex Sentences
jpn	Japanese	2	Balanced/deranked	37.000	140.000	Japanese	Japanese	Complex Sentences
kan	Kana	2	Balanced/deranked	4.750	7.417	Cross River	Niger-Congo	Complex Sentences
kmj	Karimojong	2	Balanced/deranked	3.000	34.167	Nilotic	Nilo-Saharan	Complex Sentences
kfe	Koromfe	2	Balanced/deranked	14.250	-0.917	Gur	Niger-Congo	Complex Sentences
nht	Nahuatl (Tetelcingo)	2	Balanced/deranked	19.667	-99.000	Aztecan	Uto-Aztecan	Complex Sentences
ndy	Ndyuka	2	Balanced/deranked	4.500	-54.500	Creoles and Pidgins	other	Complex Sentences
ngb	Ngbaka	2	Balanced/deranked	3.500	20.000	Ubangi	Niger-Congo	Complex Sentences
psm	Passamaquoddy-Maliseet	2	Balanced/deranked	45.000	-67.000	Algonquian	Algic	Complex Sentences
pau	Paumarí	2	Balanced/deranked	-6.000	-64.000	Arauan	Arauan	Complex Sentences
prh	Pirahã	2	Balanced/deranked	-7.000	-62.000	Mura	Mura	Complex Sentences
rus	Russian	2	Balanced/deranked	56.000	38.000	Slavic	Indo-European	Complex Sentences
sup	Supyire	2	Balanced/deranked	11.500	-5.583	Gur	Niger-Congo	Complex Sentences
bma	Berber (Middle Atlas)	2	Balanced/deranked	33.000	-5.000	Berber	Afro-Asiatic	Complex Sentences
tru	Trumai	2	Balanced/deranked	-11.917	-53.583	Trumai	Trumai	Complex Sentences
