Zeshan, Ulrike. 2011. Question Particles in Sign Languages.
In: Dryer, Matthew S. & Haspelmath, Martin (eds.)
The World Atlas of Language Structures Online.
Munich: Max Planck Digital Library, feature 140A.
Available online at http://wals.info/feature/140A
Accessed on 2013-11-03.

wals code	name	value	description	latitude	longitude	genus	family	area
aus	Auslan	1	None	-30.000	145.000	Sign Languages	other	Sign Languages
bsl	British Sign Language	1	None	52.000	-1.000	Sign Languages	other	Sign Languages
dge	Deutsche Gebärdensprache	1	None	52.000	11.000	Sign Languages	other	Sign Languages
gsl	Greek Sign Language	1	None	38.500	22.000	Sign Languages	other	Sign Languages
ics	Icelandic Sign Language	1	None	65.000	-18.000	Sign Languages	other	Sign Languages
ipi	Indo-Pakistani Sign Language (Indian dialects)	1	None	24.000	80.000	Sign Languages	other	Sign Languages
irs	Irish Sign Language	1	None	53.500	-7.500	Sign Languages	other	Sign Languages
iss	Israeli Sign Language	1	None	32.000	34.833	Sign Languages	other	Sign Languages
lsf	Langue des Signes Française	1	None	47.000	3.000	Sign Languages	other	Sign Languages
lsq	Langue des Signes Québecoise	1	None	48.000	-75.000	Sign Languages	other	Sign Languages
lsa	Lengua de Señas Argentina	1	None	-34.000	-63.000	Sign Languages	other	Sign Languages
lsb	Língua de Sinais Brasileira	1	None	-15.000	-48.000	Sign Languages	other	Sign Languages
lgp	Língua Gestual Portuguesa	1	None	40.000	-8.000	Sign Languages	other	Sign Languages
lii	Lingua Italiana dei Segni	1	None	42.000	13.000	Sign Languages	other	Sign Languages
lgh	Lughat al-Isharat al-Lubnaniya	1	None	34.000	35.833	Sign Languages	other	Sign Languages
ned	Nederlandse Gebarentaal	1	None	52.250	5.500	Sign Languages	other	Sign Languages
nzs	New Zealand Sign Language	1	None	-43.000	172.000	Sign Languages	other	Sign Languages
nte	Norsk Tegnspråk	1	None	61.000	9.000	Sign Languages	other	Sign Languages
svt	Svenska Teckenspråket	1	None	59.000	15.000	Sign Languages	other	Sign Languages
ths	Thai Sign Language	1	None	15.000	101.000	Sign Languages	other	Sign Languages
ugs	Ugandan Sign Language	1	None	1.000	32.500	Sign Languages	other	Sign Languages
vla	Vlaamse Gebarentaal	1	None	51.000	4.000	Sign Languages	other	Sign Languages
ada	Adamorobe Sign Language	1	None	5.833	-0.167	Sign Languages	other	Sign Languages
kkl	Kata Kolok	1	None	-8.250	115.167	Sign Languages	other	Sign Languages
rsl	Russian Sign Language	1	None	56.000	44.000	Sign Languages	other	Sign Languages
asl	American Sign Language	2	One	39.000	-78.000	Sign Languages	other	Sign Languages
fsl	Finnish Sign Language	2	One	62.000	26.000	Sign Languages	other	Sign Languages
ksl	Kenyan Sign Language	2	One	0.000	38.000	Sign Languages	other	Sign Languages
lse	Lengua de Señas Española	2	One	40.000	-3.000	Sign Languages	other	Sign Languages
nih	Nihon Shuwa (Japanese Sign Language)	2	One	36.000	139.000	Sign Languages	other	Sign Languages
psl	Plains-Indians Sign Language	2	One	40.000	-100.000	Sign Languages	other	Sign Languages
tsl	Tanzania Sign Language	2	One	-6.000	35.000	Sign Languages	other	Sign Languages
tui	Türk Isaret Dili	2	One	39.000	34.000	Sign Languages	other	Sign Languages
usl	Urubú Sign Language	2	One	-2.333	-46.000	Sign Languages	other	Sign Languages
hks	Hong Kong Sign Language	3	More than one	22.500	114.000	Sign Languages	other	Sign Languages
ssl	South Korean Sign Language	3	More than one	37.000	128.000	Sign Languages	other	Sign Languages
tzi	Taiwanese Sign Language (Ziran Shouyu)	3	More than one	24.000	121.000	Sign Languages	other	Sign Languages
csl	Chinese Sign Language	3	More than one	35.000	115.000	Sign Languages	other	Sign Languages
