Dryer, Matthew S.. 2011. Order of Negative Morpheme and Verb.
In: Dryer, Matthew S. & Haspelmath, Martin (eds.)
The World Atlas of Language Structures Online.
Munich: Max Planck Digital Library, feature 143A.
Available online at http://wals.info/feature/143A
Accessed on 2013-11-05.

wals code	name	value	description	latitude	longitude	genus	family	area
htc	Huastec	1	NegV	22.083	-99.333	Mayan	Mayan	Word Order
grs	Garus	1	NegV	-4.950	145.667	Madang	Trans-New Guinea	Word Order
see	Seediq	1	NegV	24.167	121.417	Atayalic	Austronesian	Word Order
agc	Agta (Central)	1	NegV	17.967	121.833	Northern Philippines	Austronesian	Word Order
chd	Chaudangsi	1	NegV	30.000	80.250	Bodic	Sino-Tibetan	Word Order
rwa	Rawa	1	NegV	-5.833	146.000	Finisterre-Huon	Trans-New Guinea	Word Order
ywl	Yawelmani	1	NegV	35.417	-119.000	Yokuts	Penutian	Word Order
mak	Makah	1	NegV	48.333	-124.667	Southern Wakashan	Wakashan	Word Order
sap	Sapuan	1	NegV	15.167	106.833	Bahnaric	Austro-Asiatic	Word Order
mro	Moro	1	NegV	11.000	30.167	Heiban	Niger-Congo	Word Order
mai	Maithili	1	NegV	26.000	86.000	Indic	Indo-European	Word Order
iri	Irish	1	NegV	53.000	-8.000	Celtic	Indo-European	Word Order
ndr	Nadroga	1	NegV	-18.083	177.417	Oceanic	Austronesian	Word Order
kfe	Koromfe	1	NegV	14.250	-0.917	Gur	Niger-Congo	Word Order
taw	Tawala	1	NegV	-10.333	150.667	Oceanic	Austronesian	Word Order
kor	Korean	1	NegV	37.500	128.000	Korean	Korean	Word Order
did	Didinga	1	NegV	4.500	33.500	Surmic	Nilo-Saharan	Word Order
khn	Khün	1	NegV	21.000	100.000	Kam-Tai	Tai-Kadai	Word Order
bac	Bachamal	1	NegV	-13.167	130.167	Anson Bay	Australian	Word Order
nyu	Nyulnyul	1	NegV	-17.000	122.833	Nyulnyulan	Australian	Word Order
wah	Wahgi	1	NegV	-5.833	144.717	Chimbu	Trans-New Guinea	Word Order
tep	Tepehua (Tlachichilco)	1	NegV	20.583	-98.250	Totonacan	Totonacan	Word Order
xbi	Kombio	1	NegV	-3.500	142.750	Kombio-Arapesh	Torricelli	Word Order
pnn	Pangasinan	1	NegV	15.917	120.333	Northern Philippines	Austronesian	Word Order
ebi	Ebira	1	NegV	8.167	7.000	Nupoid	Niger-Congo	Word Order
djm	Djambarrpuyngu	1	NegV	-12.167	135.500	Pama-Nyungan	Australian	Word Order
gap	Gapapaiwa	1	NegV	-9.750	149.833	Oceanic	Austronesian	Word Order
ngw	Ngawun	1	NegV	-19.000	141.500	Pama-Nyungan	Australian	Word Order
mrd	Marind	1	NegV	-7.833	140.167	Marind Proper	Marind	Word Order
mgg	Mangghuer	1	NegV	36.000	102.000	Mongolic	Altaic	Word Order
che	Cherokee	1	NegV	35.500	-83.500	Southern Iroquoian	Iroquoian	Word Order
dja	Djabugay	1	NegV	-16.750	145.583	Pama-Nyungan	Australian	Word Order
blr	Belorussian	1	NegV	54.000	28.000	Slavic	Indo-European	Word Order
jak	Jakaltek	1	NegV	15.667	-91.667	Mayan	Mayan	Word Order
una	Una	1	NegV	-4.667	140.000	Mek	Trans-New Guinea	Word Order
kom	Komo	1	NegV	8.750	33.750	Koman	Nilo-Saharan	Word Order
lan	Lango	1	NegV	2.167	33.000	Nilotic	Nilo-Saharan	Word Order
gud	Gude	1	NegV	10.417	13.417	Biu-Mandara	Afro-Asiatic	Word Order
eng	English	1	NegV	52.000	0.000	Germanic	Indo-European	Word Order
nha	Nhanda	1	NegV	-27.000	114.167	Pama-Nyungan	Australian	Word Order
kkt	Kokota	1	NegV	-8.000	159.133	Oceanic	Austronesian	Word Order
otm	Otomí (Mezquital)	1	NegV	20.167	-99.167	Otomian	Oto-Manguean	Word Order
trr	Tairora	1	NegV	-6.500	146.000	Eastern Highlands	Trans-New Guinea	Word Order
lah	Lahu	1	NegV	20.000	98.167	Burmese-Lolo	Sino-Tibetan	Word Order
mrl	Murle	1	NegV	6.500	33.500	Surmic	Nilo-Saharan	Word Order
sun	Sundanese	1	NegV	-7.000	107.000	Sundanese	Austronesian	Word Order
tag	Tagalog	1	NegV	15.000	121.000	Meso-Philippine	Austronesian	Word Order
mal	Malagasy	1	NegV	-20.000	47.000	Barito	Austronesian	Word Order
huc	=|Hoan	1	NegV	-25.500	25.000	=|Hoan	Khoisan	Word Order
mco	Mixe (Coatlán)	1	NegV	16.917	-95.667	Mixe-Zoque	Mixe-Zoque	Word Order
snn	Soninke	1	NegV	15.000	-10.500	Western Mande	Niger-Congo	Word Order
kwn	Kwangali	1	NegV	-18.000	19.500	Bantoid	Niger-Congo	Word Order
por	Portuguese	1	NegV	39.000	-8.000	Romance	Indo-European	Word Order
sta	Santa	1	NegV	31.500	107.500	Mongolic	Altaic	Word Order
kop	Komi-Permyak	1	NegV	59.500	54.500	Permic	Uralic	Word Order
vie	Vietnamese	1	NegV	10.500	106.500	Viet-Muong	Austro-Asiatic	Word Order
ten	Tennet	1	NegV	4.417	32.500	Surmic	Nilo-Saharan	Word Order
luo	Luo	1	NegV	-0.500	34.750	Nilotic	Nilo-Saharan	Word Order
mny	Margany	1	NegV	-27.000	144.500	Pama-Nyungan	Australian	Word Order
tgk	Tigak	1	NegV	-2.717	150.800	Oceanic	Austronesian	Word Order
kya	Kuku-Yalanji	1	NegV	-16.000	145.000	Pama-Nyungan	Australian	Word Order
lic	Hlai (Baoding)	1	NegV	19.000	109.500	Hlai	Tai-Kadai	Word Order
hin	Hindi	1	NegV	25.000	77.000	Indic	Indo-European	Word Order
lac	Lacandón	1	NegV	17.000	-91.500	Mayan	Mayan	Word Order
mmn	Mamanwa	1	NegV	9.417	125.500	Meso-Philippine	Austronesian	Word Order
iba	Iban	1	NegV	2.000	112.000	Malayic	Austronesian	Word Order
wrl	Warlpiri	1	NegV	-20.000	132.333	Pama-Nyungan	Australian	Word Order
wak	Wakhi	1	NegV	36.500	72.000	Iranian	Indo-European	Word Order
ngu	Nguna	1	NegV	-16.917	168.500	Oceanic	Austronesian	Word Order
yi	Yi	1	NegV	24.000	104.000	Burmese-Lolo	Sino-Tibetan	Word Order
imo	Imonda	1	NegV	-3.333	141.167	Border	Border	Word Order
tno	Tondano	1	NegV	1.250	125.000	Sulawesi	Austronesian	Word Order
par	Päri	1	NegV	5.000	32.500	Nilotic	Nilo-Saharan	Word Order
yap	Yapese	1	NegV	9.583	138.167	Yapese	Austronesian	Word Order
yng	Yingkarta	1	NegV	-25.167	114.833	Pama-Nyungan	Australian	Word Order
hup	Hupa	1	NegV	41.083	-123.667	Athapaskan	Na-Dene	Word Order
mno	Mono (in United States)	1	NegV	38.000	-119.000	Numic	Uto-Aztecan	Word Order
ngi	Ngiyambaa	1	NegV	-31.750	145.500	Pama-Nyungan	Australian	Word Order
cre	Cree (Plains)	1	NegV	54.000	-110.000	Algonquian	Algic	Word Order
mkj	Makasae	1	NegV	-8.667	126.500	Makasae-Fataluku-Oirata	Timor-Alor-Pantar	Word Order
kad	Kadugli	1	NegV	11.000	29.667	Kadugli	Kadugli	Word Order
slo	Slovene	1	NegV	46.000	15.000	Slavic	Indo-European	Word Order
yag	Yagua	1	NegV	-3.500	-72.000	Peba-Yaguan	Peba-Yaguan	Word Order
mxc	Mixtec (Chalcatongo)	1	NegV	17.050	-97.583	Mixtecan	Oto-Manguean	Word Order
cah	Cahuilla	1	NegV	33.500	-116.250	Takic	Uto-Aztecan	Word Order
dgr	Dagur	1	NegV	48.000	124.000	Mongolic	Altaic	Word Order
bug	Bugis	1	NegV	-4.000	120.000	Sulawesi	Austronesian	Word Order
mrr	Maringarr	1	NegV	-14.250	130.000	Western Daly	Australian	Word Order
nca	Nicobarese (Car)	1	NegV	9.000	93.000	Nicobarese	Austro-Asiatic	Word Order
kut	Kutenai	1	NegV	49.500	-116.000	Kutenai	Kutenai	Word Order
mir	Miriwung	1	NegV	-15.667	129.000	Djeragan	Australian	Word Order
ace	Acehnese	1	NegV	5.500	95.500	Malayic	Austronesian	Word Order
plg	Palaung	1	NegV	22.667	96.667	Palaung-Khmuic	Austro-Asiatic	Word Order
pal	Palauan	1	NegV	7.500	134.583	Palauan	Austronesian	Word Order
din	Dinka	1	NegV	8.500	28.000	Nilotic	Nilo-Saharan	Word Order
ind	Indonesian	1	NegV	0.000	106.000	Malayic	Austronesian	Word Order
lal	Lalo	1	NegV	25.000	100.250	Burmese-Lolo	Sino-Tibetan	Word Order
wlm	Walmatjari	1	NegV	-19.500	125.750	Pama-Nyungan	Australian	Word Order
kum	Kumauni	1	NegV	30.000	80.000	Indic	Indo-European	Word Order
zar	Zarma	1	NegV	13.833	2.167	Songhay	Nilo-Saharan	Word Order
eno	Enggano	1	NegV	-5.417	102.250	Sumatra	Austronesian	Word Order
dyi	Dyirbal	1	NegV	-17.833	145.583	Pama-Nyungan	Australian	Word Order
svs	Savosavo	1	NegV	-9.133	159.800	Savosavo	Solomons East Papuan	Word Order
oji	Ojibwa (Eastern)	1	NegV	46.000	-80.000	Algonquian	Algic	Word Order
bkr	Batak (Karo)	1	NegV	3.250	98.250	Sumatra	Austronesian	Word Order
nsg	Nisgha	1	NegV	55.000	-130.000	Tsimshianic	Penutian	Word Order
mov	Movima	1	NegV	-13.833	-65.667	Movima	Movima	Word Order
sed	Sedang	1	NegV	14.833	108.000	Bahnaric	Austro-Asiatic	Word Order
tkl	Takelma	1	NegV	42.500	-123.000	Takelma	Takelma	Word Order
nht	Nahuatl (Tetelcingo)	1	NegV	19.667	-99.000	Aztecan	Uto-Aztecan	Word Order
taf	Taiof	1	NegV	-5.533	154.633	Oceanic	Austronesian	Word Order
ukr	Ukrainian	1	NegV	49.000	33.000	Slavic	Indo-European	Word Order
mrt	Martuthunira	1	NegV	-20.833	116.500	Pama-Nyungan	Australian	Word Order
tli	Tlingit	1	NegV	59.000	-135.000	Tlingit	Na-Dene	Word Order
chq	Chinantec (Quiotepec)	1	NegV	17.583	-96.667	Chinantecan	Oto-Manguean	Word Order
niu	Niuean	1	NegV	-19.050	-170.117	Oceanic	Austronesian	Word Order
gir	Gula Iro	1	NegV	10.250	19.417	Adamawa	Niger-Congo	Word Order
yei	Yei	1	NegV	-7.917	140.917	Morehead and Upper Maro Rivers	Morehead and Upper Maro Rivers	Word Order
wol	Woleaian	1	NegV	7.333	143.833	Oceanic	Austronesian	Word Order
guu	Guugu Yimidhirr	1	NegV	-15.000	144.833	Pama-Nyungan	Australian	Word Order
nax	Naxi	1	NegV	27.500	100.000	Naxi	Sino-Tibetan	Word Order
joh	Johari	1	NegV	30.667	80.000	Bodic	Sino-Tibetan	Word Order
ksa	Keresan (Santa Ana)	1	NegV	35.417	-106.667	Keresan	Keresan	Word Order
mnm	Manam	1	NegV	-4.000	145.000	Oceanic	Austronesian	Word Order
tla	Tolai	1	NegV	-4.250	152.083	Oceanic	Austronesian	Word Order
pno	Paiute (Northern)	1	NegV	42.000	-118.000	Numic	Uto-Aztecan	Word Order
fin	Finnish	1	NegV	62.000	25.000	Finnic	Uralic	Word Order
kch	Koyra Chiini	1	NegV	17.000	-3.000	Songhay	Nilo-Saharan	Word Order
