Dryer, Matthew S.. 2011. Correlative relative clauses.
In: Dryer, Matthew S. & Haspelmath, Martin (eds.)
The World Atlas of Language Structures Online.
Munich: Max Planck Digital Library, feature 90E.
Available online at http://wals.info/feature/90E
Accessed on 2013-11-05.

wals code	name	value	description	latitude	longitude	genus	family	area
sup	Supyire	1	Correlative relative clause dominant	11.500	-5.583	Gur	Niger-Congo	Word Order
oya	Oriya	1	Correlative relative clause dominant	21.000	85.000	Indic	Indo-European	Word Order
bam	Bambara	1	Correlative relative clause dominant	12.500	-7.500	Western Mande	Niger-Congo	Word Order
mka	Mauka	1	Correlative relative clause dominant	8.333	-7.500	Western Mande	Niger-Congo	Word Order
hin	Hindi	1	Correlative relative clause dominant	25.000	77.000	Indic	Indo-European	Word Order
vai	Vai	1	Correlative relative clause dominant	6.917	-11.250	Western Mande	Niger-Congo	Word Order
urd	Urdu	1	Correlative relative clause dominant	25.000	67.000	Indic	Indo-European	Word Order
knd	Kannada	2	Correlative or RelN	14.000	76.000	Southern Dravidian	Dravidian	Word Order
stl	Santali	2	Correlative or RelN	24.500	87.000	Munda	Austro-Asiatic	Word Order
skw	Shekhawati	2	Correlative or RelN	28.000	75.500	Indic	Indo-European	Word Order
khr	Kharia	2	Correlative or RelN	22.500	84.333	Munda	Austro-Asiatic	Word Order
drm	Darma	2	Correlative or RelN	30.000	79.750	Bodic	Sino-Tibetan	Word Order
kgy	Kyirong	2	Correlative or RelN	28.417	85.333	Bodic	Sino-Tibetan	Word Order
bod	Bodo	2	Correlative or RelN	26.833	92.000	Bodo-Garo	Sino-Tibetan	Word Order
kas	Kashmiri	3	Correlative or NRel	34.000	76.000	Indic	Indo-European	Word Order
mai	Maithili	3	Correlative or NRel	26.000	86.000	Indic	Indo-European	Word Order
snm	Sanuma	4	Correlative or internally-headed	4.500	-64.667	Yanomam	Yanomam	Word Order
xas	Xasonga	5	Correlative or adjoined	14.250	-10.500	Western Mande	Niger-Congo	Word Order
ngi	Ngiyambaa	5	Correlative or adjoined	-31.750	145.500	Pama-Nyungan	Australian	Word Order
qim	Quechua (Imbabura)	6	Correlative as nondominant type	0.333	-78.000	Quechuan	Quechuan	Word Order
nwd	Newar (Dolakha)	6	Correlative as nondominant type	27.333	86.000	Bodic	Sino-Tibetan	Word Order
yko	Yukaghir (Kolyma)	6	Correlative as nondominant type	65.750	150.833	Yukaghir	Yukaghir	Word Order
xns	Kanashi	7	Correlative exists	32.083	77.250	Bodic	Sino-Tibetan	Word Order
