Dahl, Östen. 2011. Tea.
In: Dryer, Matthew S. & Haspelmath, Martin (eds.)
The World Atlas of Language Structures Online.
Munich: Max Planck Digital Library, feature 138A.
Available online at http://wals.info/feature/138A
Accessed on 2013-11-05.

wals code	name	value	description	latitude	longitude	genus	family	area
abz	Abaza	1	Words derived from Sinitic cha	44.000	42.000	Northwest Caucasian	Northwest Caucasian	Lexicon
fua	Fula (Cameroonian)	1	Words derived from Sinitic cha	9.167	13.500	Northern Atlantic	Niger-Congo	Lexicon
qaf	Qafar	1	Words derived from Sinitic cha	12.000	42.000	Eastern Cushitic	Afro-Asiatic	Lexicon
aht	Ahtna	1	Words derived from Sinitic cha	62.000	-145.000	Athapaskan	Na-Dene	Lexicon
alb	Albanian	1	Words derived from Sinitic cha	41.000	20.000	Albanian	Indo-European	Lexicon
amh	Amharic	1	Words derived from Sinitic cha	10.000	38.000	Semitic	Afro-Asiatic	Lexicon
aeg	Arabic (Egyptian)	1	Words derived from Sinitic cha	30.000	31.000	Semitic	Afro-Asiatic	Lexicon
ass	Assamese	1	Words derived from Sinitic cha	26.000	93.000	Indic	Indo-European	Lexicon
aze	Azerbaijani	1	Words derived from Sinitic cha	40.500	48.500	Turkic	Altaic	Lexicon
blc	Baluchi	1	Words derived from Sinitic cha	28.000	62.000	Iranian	Indo-European	Lexicon
bsk	Bashkir	1	Words derived from Sinitic cha	53.000	58.000	Turkic	Altaic	Lexicon
bsq	Basque	1	Words derived from Sinitic cha	43.000	-3.000	Basque	Basque	Lexicon
blr	Belorussian	1	Words derived from Sinitic cha	54.000	28.000	Slavic	Indo-European	Lexicon
ben	Bengali	1	Words derived from Sinitic cha	24.000	90.000	Indic	Indo-European	Lexicon
bul	Bulgarian	1	Words derived from Sinitic cha	42.500	25.000	Slavic	Indo-European	Lexicon
brj	Burji	1	Words derived from Sinitic cha	5.500	37.833	Eastern Cushitic	Afro-Asiatic	Lexicon
bur	Burushaski	1	Words derived from Sinitic cha	36.500	74.500	Burushaski	Burushaski	Lexicon
but	Buriat	1	Words derived from Sinitic cha	52.000	108.000	Mongolic	Altaic	Lexicon
cnt	Cantonese	1	Words derived from Sinitic cha	23.000	113.000	Chinese	Sino-Tibetan	Lexicon
ceb	Cebuano	1	Words derived from Sinitic cha	10.000	124.000	Meso-Philippine	Austronesian	Lexicon
cme	Cham (Eastern)	1	Words derived from Sinitic cha	11.333	108.500	Malayic	Austronesian	Lexicon
cha	Chamorro	1	Words derived from Sinitic cha	13.450	144.750	Chamorro	Austronesian	Lexicon
chn	Chantyal	1	Words derived from Sinitic cha	28.583	83.417	Bodic	Sino-Tibetan	Lexicon
chc	Chechen	1	Words derived from Sinitic cha	43.250	45.833	Nakh	Nakh-Daghestanian	Lexicon
chr	Chrau	1	Words derived from Sinitic cha	10.750	107.500	Bahnaric	Austro-Asiatic	Lexicon
chv	Chuvash	1	Words derived from Sinitic cha	55.500	47.500	Turkic	Altaic	Lexicon
com	Comorian	1	Words derived from Sinitic cha	-12.000	44.000	Bantoid	Niger-Congo	Lexicon
cze	Czech	1	Words derived from Sinitic cha	50.000	15.000	Slavic	Indo-European	Lexicon
dah	Dahalo	1	Words derived from Sinitic cha	-2.333	40.500	Southern Cushitic	Afro-Asiatic	Lexicon
din	Dinka	1	Words derived from Sinitic cha	8.500	28.000	Nilotic	Nilo-Saharan	Lexicon
nbd	Nubian (Dongolese)	1	Words derived from Sinitic cha	18.250	30.750	Nubian	Nilo-Saharan	Lexicon
moe	Mordvin (Erzya)	1	Words derived from Sinitic cha	53.000	45.500	Mordvin	Uralic	Lexicon
evn	Even	1	Words derived from Sinitic cha	68.000	130.000	Tungusic	Altaic	Lexicon
eve	Evenki	1	Words derived from Sinitic cha	56.000	125.000	Tungusic	Altaic	Lexicon
geo	Georgian	1	Words derived from Sinitic cha	42.000	44.000	Kartvelian	Kartvelian	Lexicon
grk	Greek (Modern)	1	Words derived from Sinitic cha	39.000	22.000	Greek	Indo-European	Lexicon
guj	Gujarati	1	Words derived from Sinitic cha	23.000	72.000	Indic	Indo-European	Lexicon
orh	Oromo (Harar)	1	Words derived from Sinitic cha	9.000	42.000	Eastern Cushitic	Afro-Asiatic	Lexicon
hau	Hausa	1	Words derived from Sinitic cha	12.000	7.000	West Chadic	Afro-Asiatic	Lexicon
hil	Hiligaynon	1	Words derived from Sinitic cha	10.250	123.000	Meso-Philippine	Austronesian	Lexicon
hin	Hindi	1	Words derived from Sinitic cha	25.000	77.000	Indic	Indo-European	Lexicon
ing	Ingush	1	Words derived from Sinitic cha	43.167	45.083	Nakh	Nakh-Daghestanian	Lexicon
jpn	Japanese	1	Words derived from Sinitic cha	37.000	140.000	Japanese	Japanese	Lexicon
kab	Kabardian	1	Words derived from Sinitic cha	43.500	43.500	Northwest Caucasian	Northwest Caucasian	Lexicon
kmk	Kalmyk	1	Words derived from Sinitic cha	44.000	83.000	Mongolic	Altaic	Lexicon
krm	Karaim	1	Words derived from Sinitic cha	54.667	24.917	Turkic	Altaic	Lexicon
kkp	Karakalpak	1	Words derived from Sinitic cha	43.000	60.000	Turkic	Altaic	Lexicon
kaz	Kazakh	1	Words derived from Sinitic cha	50.000	70.000	Turkic	Altaic	Lexicon
khk	Khakas	1	Words derived from Sinitic cha	53.000	90.000	Turkic	Altaic	Lexicon
kha	Khalkha	1	Words derived from Sinitic cha	47.000	105.000	Mongolic	Altaic	Lexicon
khs	Khasi	1	Words derived from Sinitic cha	25.500	92.000	Khasian	Austro-Asiatic	Lexicon
kik	Kikuyu	1	Words derived from Sinitic cha	-0.750	36.750	Bantoid	Niger-Congo	Lexicon
kin	Kinyarwanda	1	Words derived from Sinitic cha	-2.000	30.000	Bantoid	Niger-Congo	Lexicon
kgz	Kirghiz	1	Words derived from Sinitic cha	42.000	75.000	Turkic	Altaic	Lexicon
kkn	Konkani	1	Words derived from Sinitic cha	15.250	74.000	Indic	Indo-European	Lexicon
kor	Korean	1	Words derived from Sinitic cha	37.500	128.000	Korean	Korean	Lexicon
kry	Koryak	1	Words derived from Sinitic cha	61.000	167.000	Northern Chukotko-Kamchatkan	Chukotko-Kamchatkan	Lexicon
kro	Krongo	1	Words derived from Sinitic cha	10.500	30.000	Kadugli	Kadugli	Lexicon
kuq	Kumyk	1	Words derived from Sinitic cha	43.000	47.333	Turkic	Altaic	Lexicon
