van der Auwera, Johan & Ammann, Andreas. 2011. Situational Possibility.
In: Dryer, Matthew S. & Haspelmath, Martin (eds.)
The World Atlas of Language Structures Online.
Munich: Max Planck Digital Library, feature 74A.
Available online at http://wals.info/feature/74A
Accessed on 2013-11-05.

wals code	name	value	description	latitude	longitude	genus	family	area
aco	Acoma	1	Affixes on verbs	34.917	-107.583	Keresan	Keresan	Verbal Categories
ana	Araona	1	Affixes on verbs	-12.333	-67.750	Tacanan	Tacanan	Verbal Categories
asm	Asmat	1	Affixes on verbs	-5.500	138.500	Asmat-Kamoro	Trans-New Guinea	Verbal Categories
awp	Awa Pit	1	Affixes on verbs	1.500	-78.250	Barbacoan	Barbacoan	Verbal Categories
bsq	Basque	1	Affixes on verbs	43.000	-3.000	Basque	Basque	Verbal Categories
bkr	Batak (Karo)	1	Affixes on verbs	3.250	98.250	Sumatra	Austronesian	Verbal Categories
brh	Brahui	1	Affixes on verbs	28.500	67.000	Northern Dravidian	Dravidian	Verbal Categories
cha	Chamorro	1	Affixes on verbs	13.450	144.750	Chamorro	Austronesian	Verbal Categories
chv	Chuvash	1	Affixes on verbs	55.500	47.500	Turkic	Altaic	Verbal Categories
dag	Daga	1	Affixes on verbs	-10.000	149.333	Dagan	Dagan	Verbal Categories
dni	Dani (Lower Grand Valley)	1	Affixes on verbs	-4.333	138.833	Dani	Trans-New Guinea	Verbal Categories
dio	Diola-Fogny	1	Affixes on verbs	13.000	-16.250	Northern Atlantic	Niger-Congo	Verbal Categories
eka	Ekari	1	Affixes on verbs	-3.833	135.500	Wissel Lakes-Kemandoga	Trans-New Guinea	Verbal Categories
eve	Evenki	1	Affixes on verbs	56.000	125.000	Tungusic	Altaic	Verbal Categories
fni	Fula (Nigerian)	1	Affixes on verbs	8.167	10.500	Northern Atlantic	Niger-Congo	Verbal Categories
gdk	Gadaba (Kondekor)	1	Affixes on verbs	18.750	83.500	Central Dravidian	Dravidian	Verbal Categories
gar	Garo	1	Affixes on verbs	25.667	90.500	Bodo-Garo	Sino-Tibetan	Verbal Categories
grw	Greenlandic (West)	1	Affixes on verbs	64.000	-51.000	Eskimo	Eskimo-Aleut	Verbal Categories
goj	Gojri	1	Affixes on verbs	32.750	76.250	Indic	Indo-European	Verbal Categories
hai	Haida	1	Affixes on verbs	53.000	-132.000	Haida	Haida	Verbal Categories
hun	Hungarian	1	Affixes on verbs	47.000	20.000	Ugric	Uralic	Verbal Categories
ika	Ika	1	Affixes on verbs	10.667	-73.750	Aruak	Chibchan	Verbal Categories
imo	Imonda	1	Affixes on verbs	-3.333	141.167	Border	Border	Verbal Categories
ind	Indonesian	1	Affixes on verbs	0.000	106.000	Malayic	Austronesian	Verbal Categories
jak	Jakaltek	1	Affixes on verbs	15.667	-91.667	Mayan	Mayan	Verbal Categories
jpn	Japanese	1	Affixes on verbs	37.000	140.000	Japanese	Japanese	Verbal Categories
ham	Hamtai	1	Affixes on verbs	-7.500	146.250	Angan	Trans-New Guinea	Verbal Categories
kay	Kayardild	1	Affixes on verbs	-17.050	139.500	Tangkic	Australian	Verbal Categories
klv	Kilivila	1	Affixes on verbs	-8.500	151.083	Oceanic	Austronesian	Verbal Categories
kio	Kiowa	1	Affixes on verbs	37.000	-99.000	Kiowa-Tanoan	Kiowa-Tanoan	Verbal Categories
koa	Koasati	1	Affixes on verbs	34.833	-85.167	Muskogean	Muskogean	Verbal Categories
kob	Kobon	1	Affixes on verbs	-5.167	144.333	Madang	Trans-New Guinea	Verbal Categories
lad	Ladakhi	1	Affixes on verbs	34.000	78.000	Bodic	Sino-Tibetan	Verbal Categories
lav	Lavukaleve	1	Affixes on verbs	-9.083	159.200	Lavukaleve	Solomons East Papuan	Verbal Categories
myi	Mangarrayi	1	Affixes on verbs	-14.667	133.500	Mangarrayi	Australian	Verbal Categories
mrd	Marind	1	Affixes on verbs	-7.833	140.167	Marind Proper	Marind	Verbal Categories
mau	Maung	1	Affixes on verbs	-11.917	133.500	Iwaidjan	Australian	Verbal Categories
mss	Miwok (Southern Sierra)	1	Affixes on verbs	37.500	-120.000	Miwok	Penutian	Verbal Categories
nav	Navajo	1	Affixes on verbs	36.167	-108.000	Athapaskan	Na-Dene	Verbal Categories
nez	Nez Perce	1	Affixes on verbs	46.000	-116.000	Sahaptian	Penutian	Verbal Categories
nug	Nunggubuyu	1	Affixes on verbs	-13.750	135.667	Nunggubuyu	Australian	Verbal Categories
pai	Paiwan	1	Affixes on verbs	22.500	120.833	Paiwanic	Austronesian	Verbal Categories
pit	Pitjantjatjara	1	Affixes on verbs	-26.000	130.000	Pama-Nyungan	Australian	Verbal Categories
