Siewierska, Anna. 2011. Passive Constructions.
In: Dryer, Matthew S. & Haspelmath, Martin (eds.)
The World Atlas of Language Structures Online.
Munich: Max Planck Digital Library, feature 107A.
Available online at http://wals.info/feature/107A
Accessed on 2013-11-05.

wals code	name	value	description	latitude	longitude	genus	family	area
ain	Ainu	1	Present	43.000	143.000	Ainu	Ainu	Simple Clauses
alb	Albanian	1	Present	41.000	20.000	Albanian	Indo-European	Simple Clauses
amh	Amharic	1	Present	10.000	38.000	Semitic	Afro-Asiatic	Simple Clauses
amu	Amuesha	1	Present	-10.500	-75.417	Arawakan	Arawakan	Simple Clauses
ani	//Ani	1	Present	-18.917	21.917	Central Khoisan	Khoisan	Simple Clauses
apu	Apurinã	1	Present	-9.000	-67.000	Arawakan	Arawakan	Simple Clauses
aeg	Arabic (Egyptian)	1	Present	30.000	31.000	Semitic	Afro-Asiatic	Simple Clauses
ana	Araona	1	Present	-12.333	-67.750	Tacanan	Tacanan	Simple Clauses
ara	Arawak	1	Present	5.500	-55.167	Arawakan	Arawakan	Simple Clauses
arm	Armenian (Eastern)	1	Present	40.000	45.000	Armenian	Indo-European	Simple Clauses
aym	Aymara	1	Present	-17.000	-69.000	Aymaran	Aymaran	Simple Clauses
bar	Bari	1	Present	5.000	31.667	Nilotic	Nilo-Saharan	Simple Clauses
bsq	Basque	1	Present	43.000	-3.000	Basque	Basque	Simple Clauses
bej	Beja	1	Present	18.000	36.000	Beja	Afro-Asiatic	Simple Clauses
ber	Berta	1	Present	10.333	34.667	Berta	Nilo-Saharan	Simple Clauses
bln	Bilin	1	Present	15.750	38.500	Central Cushitic	Afro-Asiatic	Simple Clauses
brr	Bororo	1	Present	-16.000	-57.000	Bororo	Macro-Ge	Simple Clauses
bur	Burushaski	1	Present	36.500	74.500	Burushaski	Burushaski	Simple Clauses
car	Carib	1	Present	5.500	-56.000	Cariban	Cariban	Simple Clauses
cyv	Cayuvava	1	Present	-13.500	-65.500	Cayuvava	Cayuvava	Simple Clauses
cha	Chamorro	1	Present	13.450	144.750	Chamorro	Austronesian	Simple Clauses
cle	Chinantec (Lealao)	1	Present	17.333	-95.917	Chinantecan	Oto-Manguean	Simple Clauses
mnd	Mandarin	1	Present	34.000	110.000	Chinese	Sino-Tibetan	Simple Clauses
cmn	Comanche	1	Present	33.500	-101.500	Numic	Uto-Aztecan	Simple Clauses
cmx	Comox	1	Present	50.167	-125.000	Central Salish	Salishan	Simple Clauses
cop	Coptic	1	Present	26.000	32.000	Egyptian-Coptic	Afro-Asiatic	Simple Clauses
cor	Cora	1	Present	22.167	-104.833	Corachol	Uto-Aztecan	Simple Clauses
cub	Cubeo	1	Present	1.333	-70.500	Tucanoan	Tucanoan	Simple Clauses
cri	Crimean Tatar	1	Present	45.000	34.083	Turkic	Altaic	Simple Clauses
dgr	Dagur	1	Present	48.000	124.000	Mongolic	Altaic	Simple Clauses
dre	Drehu	1	Present	-21.000	167.250	Oceanic	Austronesian	Simple Clauses
dio	Diola-Fogny	1	Present	13.000	-16.250	Northern Atlantic	Niger-Congo	Simple Clauses
diz	Dizi	1	Present	6.167	36.500	North Omotic	Afro-Asiatic	Simple Clauses
don	Dong	1	Present	27.000	109.000	Kam-Tai	Tai-Kadai	Simple Clauses
nbd	Nubian (Dongolese)	1	Present	18.250	30.750	Nubian	Nilo-Saharan	Simple Clauses
doy	Doyayo	1	Present	8.667	13.083	Adamawa	Niger-Congo	Simple Clauses
dut	Dutch	1	Present	52.500	6.000	Germanic	Indo-European	Simple Clauses
eng	English	1	Present	52.000	0.000	Germanic	Indo-European	Simple Clauses
eve	Evenki	1	Present	56.000	125.000	Tungusic	Altaic	Simple Clauses
fij	Fijian	1	Present	-17.833	178.000	Oceanic	Austronesian	Simple Clauses
fin	Finnish	1	Present	62.000	25.000	Finnic	Uralic	Simple Clauses
fre	French	1	Present	48.000	2.000	Romance	Indo-European	Simple Clauses
fni	Fula (Nigerian)	1	Present	8.167	10.500	Northern Atlantic	Niger-Congo	Simple Clauses
fur	Fur	1	Present	13.500	25.000	Fur	Nilo-Saharan	Simple Clauses
geo	Georgian	1	Present	42.000	44.000	Kartvelian	Kartvelian	Simple Clauses
ger	German	1	Present	52.000	10.000	Germanic	Indo-European	Simple Clauses
grb	Grebo	1	Present	5.000	-8.000	Kru	Niger-Congo	Simple Clauses
grk	Greek (Modern)	1	Present	39.000	22.000	Greek	Indo-European	Simple Clauses
grw	Greenlandic (West)	1	Present	64.000	-51.000	Eskimo	Eskimo-Aleut	Simple Clauses
nbr	Ngäbere	1	Present	8.667	-82.000	Guaymi	Chibchan	Simple Clauses
hlu	Halkomelem (Upriver)	1	Present	49.250	-121.917	Central Salish	Salishan	Simple Clauses
hmr	Hamer	1	Present	5.000	36.500	South Omotic	Afro-Asiatic	Simple Clauses
coo	Coos (Hanis)	1	Present	43.500	-124.167	Coosan	Oregon Coast	Simple Clauses
hau	Hausa	1	Present	12.000	7.000	West Chadic	Afro-Asiatic	Simple Clauses
heb	Hebrew (Modern)	1	Present	31.500	34.833	Semitic	Afro-Asiatic	Simple Clauses
hin	Hindi	1	Present	25.000	77.000	Indic	Indo-European	Simple Clauses
hix	Hixkaryana	1	Present	-1.000	-59.000	Cariban	Cariban	Simple Clauses
hmo	Hmong Njua	1	Present	28.000	105.000	Hmong-Mien	Hmong-Mien	Simple Clauses
hun	Hungarian	1	Present	47.000	20.000	Ugric	Uralic	Simple Clauses
ind	Indonesian	1	Present	0.000	106.000	Malayic	Austronesian	Simple Clauses
irq	Iraqw	1	Present	-4.000	35.500	Southern Cushitic	Afro-Asiatic	Simple Clauses
iri	Irish	1	Present	53.000	-8.000	Celtic	Indo-European	Simple Clauses
ita	Italian	1	Present	43.000	12.000	Romance	Indo-European	Simple Clauses
jak	Jakaltek	1	Present	15.667	-91.667	Mayan	Mayan	Simple Clauses
jpn	Japanese	1	Present	37.000	140.000	Japanese	Japanese	Simple Clauses
jur	Jurchen	1	Present	47.000	130.000	Tungusic	Altaic	Simple Clauses
knd	Kannada	1	Present	14.000	76.000	Southern Dravidian	Dravidian	Simple Clauses
knr	Kanuri	1	Present	12.000	13.000	Western Saharan	Nilo-Saharan	Simple Clauses
kna	Karitiâna	1	Present	-9.500	-64.000	Arikem	Tupian	Simple Clauses
krk	Karok	1	Present	41.667	-123.000	Karok	Karok	Simple Clauses
kas	Kashmiri	1	Present	34.000	76.000	Indic	Indo-European	Simple Clauses
kws	Kawaiisu	1	Present	36.000	-117.500	Numic	Uto-Aztecan	Simple Clauses
kay	Kayardild	1	Present	-17.050	139.500	Tangkic	Australian	Simple Clauses
ket	Ket	1	Present	64.000	87.000	Yeniseian	Yeniseian	Simple Clauses
kha	Khalkha	1	Present	47.000	105.000	Mongolic	Altaic	Simple Clauses
krb	Kiribati	1	Present	1.333	173.000	Oceanic	Austronesian	Simple Clauses
kis	Kisi	1	Present	8.833	-10.167	Southern Atlantic	Niger-Congo	Simple Clauses
koa	Koasati	1	Present	34.833	-85.167	Muskogean	Muskogean	Simple Clauses
ijo	Ijo (Kolokuma)	1	Present	4.917	5.667	Ijoid	Niger-Congo	Simple Clauses
kon	Kongo	1	Present	-5.000	15.000	Bantoid	Niger-Congo	Simple Clauses
kor	Korean	1	Present	37.500	128.000	Korean	Korean	Simple Clauses
kch	Koyra Chiini	1	Present	17.000	-3.000	Songhay	Nilo-Saharan	Simple Clauses
kro	Krongo	1	Present	10.500	30.000	Kadugli	Kadugli	Simple Clauses
kuk	Kukú	1	Present	5.833	31.667	Nilotic	Nilo-Saharan	Simple Clauses
knm	Kunama	1	Present	14.500	37.000	Kunama	Nilo-Saharan	Simple Clauses
krd	Kurdish (Central)	1	Present	36.000	44.000	Iranian	Indo-European	Simple Clauses
kos	Kosraean	1	Present	5.300	163.000	Oceanic	Austronesian	Simple Clauses
kut	Kutenai	1	Present	49.500	-116.000	Kutenai	Kutenai	Simple Clauses
lat	Latvian	1	Present	57.000	24.000	Baltic	Indo-European	Simple Clauses
lep	Lepcha	1	Present	27.167	88.500	Lepcha	Sino-Tibetan	Simple Clauses
lim	Limbu	1	Present	27.167	87.750	Bodic	Sino-Tibetan	Simple Clauses
mle	Maale	1	Present	6.000	36.917	North Omotic	Afro-Asiatic	Simple Clauses
mab	Maba	1	Present	13.750	20.833	Maban	Nilo-Saharan	Simple Clauses
mac	Macushi	1	Present	4.000	-60.000	Cariban	Cariban	Simple Clauses
mal	Malagasy	1	Present	-20.000	47.000	Barito	Austronesian	Simple Clauses
mao	Maori	1	Present	-40.000	176.000	Oceanic	Austronesian	Simple Clauses
map	Mapudungun	1	Present	-38.000	-72.000	Araucanian	Araucanian	Simple Clauses
mar	Maricopa	1	Present	33.167	-113.167	Yuman	Hokan	Simple Clauses
mrt	Martuthunira	1	Present	-20.833	116.500	Pama-Nyungan	Australian	Simple Clauses
msl	Masalit	1	Present	13.333	22.000	Maban	Nilo-Saharan	Simple Clauses
mss	Miwok (Southern Sierra)	1	Present	37.500	-120.000	Miwok	Penutian	Simple Clauses
mun	Mundari	1	Present	23.000	84.667	Munda	Austro-Asiatic	Simple Clauses
mrl	Murle	1	Present	6.500	33.500	Surmic	Nilo-Saharan	Simple Clauses
nad	Nadëb	1	Present	-1.000	-66.500	Nadahup	Nadahup	Simple Clauses
kho	Khoekhoe	1	Present	-25.500	18.000	Central Khoisan	Khoisan	Simple Clauses
nav	Navajo	1	Present	36.167	-108.000	Athapaskan	Na-Dene	Simple Clauses
ndo	Ndonga	1	Present	-18.000	17.000	Bantoid	Niger-Congo	Simple Clauses
nen	Nenets	1	Present	69.000	72.000	Samoyedic	Uralic	Simple Clauses
nez	Nez Perce	1	Present	46.000	-116.000	Sahaptian	Penutian	Simple Clauses
