Dryer, Matthew S.. 2011. Position of Case Affixes.
In: Dryer, Matthew S. & Haspelmath, Martin (eds.)
The World Atlas of Language Structures Online.
Munich: Max Planck Digital Library, feature 51A.
Available online at http://wals.info/feature/51A
Accessed on 2013-11-05.

wals code	name	value	description	latitude	longitude	genus	family	area
krn	Korana	1	Case suffixes	-29.500	20.500	Central Khoisan	Khoisan	Nominal Categories
maw	Maninka (Western)	1	Case suffixes	13.000	-11.000	Western Mande	Niger-Congo	Nominal Categories
ijo	Ijo (Kolokuma)	1	Case suffixes	4.917	5.667	Ijoid	Niger-Congo	Nominal Categories
moo	Mooré	1	Case suffixes	12.833	-1.250	Gur	Niger-Congo	Nominal Categories
zan	Zande	1	Case suffixes	4.000	26.000	Ubangi	Niger-Congo	Nominal Categories
mba	Mba	1	Case suffixes	1.000	25.000	Ubangi	Niger-Congo	Nominal Categories
kbu	Kanembu	1	Case suffixes	14.000	15.000	Western Saharan	Nilo-Saharan	Nominal Categories
msl	Masalit	1	Case suffixes	13.333	22.000	Maban	Nilo-Saharan	Nominal Categories
fur	Fur	1	Case suffixes	13.500	25.000	Fur	Nilo-Saharan	Nominal Categories
did	Didinga	1	Case suffixes	4.500	33.500	Surmic	Nilo-Saharan	Nominal Categories
mrl	Murle	1	Case suffixes	6.500	33.500	Surmic	Nilo-Saharan	Nominal Categories
ten	Tennet	1	Case suffixes	4.417	32.500	Surmic	Nilo-Saharan	Nominal Categories
maj	Majang	1	Case suffixes	6.750	35.000	Surmic	Nilo-Saharan	Nominal Categories
mee	Me'en	1	Case suffixes	5.000	37.000	Surmic	Nilo-Saharan	Nominal Categories
mur	Mursi	1	Case suffixes	5.583	36.083	Surmic	Nilo-Saharan	Nominal Categories
cai	Chai	1	Case suffixes	5.333	35.333	Surmic	Nilo-Saharan	Nominal Categories
nyi	Nyimang	1	Case suffixes	12.167	29.333	Nyimang	Nilo-Saharan	Nominal Categories
tmn	Temein	1	Case suffixes	11.917	29.417	Temein	Nilo-Saharan	Nominal Categories
tma	Tama	1	Case suffixes	14.500	22.000	Taman	Nilo-Saharan	Nominal Categories
mii	Miisiirii	1	Case suffixes	13.500	22.000	Taman	Nilo-Saharan	Nominal Categories
par	Päri	1	Case suffixes	5.000	32.500	Nilotic	Nilo-Saharan	Nominal Categories
pkt	Pokot	1	Case suffixes	1.500	35.500	Nilotic	Nilo-Saharan	Nominal Categories
ik	Ik	1	Case suffixes	3.750	34.167	Kuliak	Nilo-Saharan	Nominal Categories
so	So	1	Case suffixes	2.583	34.750	Kuliak	Nilo-Saharan	Nominal Categories
ngm	Ngambay	1	Case suffixes	8.667	16.000	Bongo-Bagirmi	Nilo-Saharan	Nominal Categories
mby	Mbay	1	Case suffixes	8.250	17.500	Bongo-Bagirmi	Nilo-Saharan	Nominal Categories
ken	Kenga	1	Case suffixes	12.000	18.000	Bongo-Bagirmi	Nilo-Saharan	Nominal Categories
shb	Shabo	1	Case suffixes	7.583	35.417	Shabo	Nilo-Saharan	Nominal Categories
