Baerman, Matthew & Brown, Dunstan. 2011. Case Syncretism.
In: Dryer, Matthew S. & Haspelmath, Martin (eds.)
The World Atlas of Language Structures Online.
Munich: Max Planck Digital Library, feature 28A.
Available online at http://wals.info/feature/28A
Accessed on 2013-11-05.

wals code	name	value	description	latitude	longitude	genus	family	area
juh	Ju|'hoan	1	No case marking	-19.000	21.000	Northern Khoisan	Khoisan	Morphology
abi	Abipón	1	No case marking	-29.000	-61.000	Guaicuruan	Guaicuruan	Morphology
abk	Abkhaz	1	No case marking	43.083	41.000	Northwest Caucasian	Northwest Caucasian	Morphology
aco	Acoma	1	No case marking	34.917	-107.583	Keresan	Keresan	Morphology
ain	Ainu	1	No case marking	43.000	143.000	Ainu	Ainu	Morphology
ala	Alamblak	1	No case marking	-4.667	143.333	Sepik Hill	Sepik	Morphology
ame	Amele	1	No case marking	-5.250	145.583	Madang	Trans-New Guinea	Morphology
apu	Apurinã	1	No case marking	-9.000	-67.000	Arawakan	Arawakan	Morphology
aeg	Arabic (Egyptian)	1	No case marking	30.000	31.000	Semitic	Afro-Asiatic	Morphology
asm	Asmat	1	No case marking	-5.500	138.500	Asmat-Kamoro	Trans-New Guinea	Morphology
awp	Awa Pit	1	No case marking	1.500	-78.250	Barbacoan	Barbacoan	Morphology
aym	Aymara	1	No case marking	-17.000	-69.000	Aymaran	Aymaran	Morphology
bag	Bagirmi	1	No case marking	11.667	16.000	Bongo-Bagirmi	Nilo-Saharan	Morphology
bam	Bambara	1	No case marking	12.500	-7.500	Western Mande	Niger-Congo	Morphology
brs	Barasano	1	No case marking	-0.167	-70.667	Tucanoan	Tucanoan	Morphology
bej	Beja	1	No case marking	18.000	36.000	Beja	Afro-Asiatic	Morphology
bri	Bribri	1	No case marking	9.417	-83.000	Talamanca	Chibchan	Morphology
arp	Arapesh (Mountain)	1	No case marking	-3.467	143.167	Kombio-Arapesh	Torricelli	Morphology
brm	Burmese	1	No case marking	21.000	96.000	Burmese-Lolo	Sino-Tibetan	Morphology
khm	Khmer	1	No case marking	12.500	105.000	Khmer	Austro-Asiatic	Morphology
ckr	Canela-Krahô	1	No case marking	-6.000	-46.000	Ge-Kaingang	Macro-Ge	Morphology
car	Carib	1	No case marking	5.500	-56.000	Cariban	Cariban	Morphology
cyv	Cayuvava	1	No case marking	-13.500	-65.500	Cayuvava	Cayuvava	Morphology
mxc	Mixtec (Chalcatongo)	1	No case marking	17.050	-97.583	Mixtecan	Oto-Manguean	Morphology
cha	Chamorro	1	No case marking	13.450	144.750	Chamorro	Austronesian	Morphology
tsi	Tsimshian (Coast)	1	No case marking	52.500	-129.000	Tsimshianic	Penutian	Morphology
cre	Cree (Plains)	1	No case marking	54.000	-110.000	Algonquian	Algic	Morphology
dag	Daga	1	No case marking	-10.000	149.333	Dagan	Dagan	Morphology
dre	Drehu	1	No case marking	-21.000	167.250	Oceanic	Austronesian	Morphology
dio	Diola-Fogny	1	No case marking	13.000	-16.250	Northern Atlantic	Niger-Congo	Morphology
eka	Ekari	1	No case marking	-3.833	135.500	Wissel Lakes-Kemandoga	Trans-New Guinea	Morphology
ewe	Ewe	1	No case marking	6.333	0.417	Kwa	Niger-Congo	Morphology
fur	Fur	1	No case marking	13.500	25.000	Fur	Nilo-Saharan	Morphology
goo	Gooniyandi	1	No case marking	-18.333	126.333	Bunuban	Australian	Morphology
grb	Grebo	1	No case marking	5.000	-8.000	Kru	Niger-Congo	Morphology
gua	Guaraní	1	No case marking	-26.000	-56.000	Tupi-Guaraní	Tupian	Morphology
hai	Haida	1	No case marking	53.000	-132.000	Haida	Haida	Morphology
coo	Coos (Hanis)	1	No case marking	43.500	-124.167	Coosan	Oregon Coast	Morphology
heb	Hebrew (Modern)	1	No case marking	31.500	34.833	Semitic	Afro-Asiatic	Morphology
hix	Hixkaryana	1	No case marking	-1.000	-59.000	Cariban	Cariban	Morphology
hmo	Hmong Njua	1	No case marking	28.000	105.000	Hmong-Mien	Hmong-Mien	Morphology
igb	Igbo	1	No case marking	6.000	7.333	Igboid	Niger-Congo	Morphology
ind	Indonesian	1	No case marking	0.000	106.000	Malayic	Austronesian	Morphology
irq	Iraqw	1	No case marking	-4.000	35.500	Southern Cushitic	Afro-Asiatic	Morphology
jak	Jakaltek	1	No case marking	15.667	-91.667	Mayan	Mayan	Morphology
jpn	Japanese	1	No case marking	37.000	140.000	Japanese	Japanese	Morphology
knr	Kanuri	1	No case marking	12.000	13.000	Western Saharan	Nilo-Saharan	Morphology
ham	Hamtai	1	No case marking	-7.500	146.250	Angan	Trans-New Guinea	Morphology
bkr	Batak (Karo)	1	No case marking	3.250	98.250	Sumatra	Austronesian	Morphology
krk	Karok	1	No case marking	41.667	-123.000	Karok	Karok	Morphology
qaw	Qawasqar	1	No case marking	-49.000	-75.000	Alacalufan	Alacalufan	Morphology
kyl	Kayah Li (Eastern)	1	No case marking	19.000	97.500	Karen	Sino-Tibetan	Morphology
ker	Kera	1	No case marking	9.833	15.083	East Chadic	Afro-Asiatic	Morphology
kew	Kewa	1	No case marking	-6.500	143.833	Engan	Trans-New Guinea	Morphology
khs	Khasi	1	No case marking	25.500	92.000	Khasian	Austro-Asiatic	Morphology
kmu	Khmu'	1	No case marking	21.000	102.000	Palaung-Khmuic	Austro-Asiatic	Morphology
klv	Kilivila	1	No case marking	-8.500	151.083	Oceanic	Austronesian	Morphology
kio	Kiowa	1	No case marking	37.000	-99.000	Kiowa-Tanoan	Kiowa-Tanoan	Morphology
krb	Kiribati	1	No case marking	1.333	173.000	Oceanic	Austronesian	Morphology
kob	Kobon	1	No case marking	-5.167	144.333	Madang	Trans-New Guinea	Morphology
kon	Kongo	1	No case marking	-5.000	15.000	Bantoid	Niger-Congo	Morphology
kor	Korean	1	No case marking	37.500	128.000	Korean	Korean	Morphology
kfe	Koromfe	1	No case marking	14.250	-0.917	Gur	Niger-Congo	Morphology
kse	Koyraboro Senni	1	No case marking	16.000	0.000	Songhay	Nilo-Saharan	Morphology
knm	Kunama	1	No case marking	14.500	37.000	Kunama	Nilo-Saharan	Morphology
kut	Kutenai	1	No case marking	49.500	-116.000	Kutenai	Kutenai	Morphology
lkt	Lakhota	1	No case marking	43.833	-101.833	Siouan	Siouan	Morphology
lan	Lango	1	No case marking	2.167	33.000	Nilotic	Nilo-Saharan	Morphology
lav	Lavukaleve	1	No case marking	-9.083	159.200	Lavukaleve	Solomons East Papuan	Morphology
cle	Chinantec (Lealao)	1	No case marking	17.333	-95.917	Chinantecan	Oto-Manguean	Morphology
dni	Dani (Lower Grand Valley)	1	No case marking	-4.333	138.833	Dani	Trans-New Guinea	Morphology
luv	Luvale	1	No case marking	-12.000	22.000	Bantoid	Niger-Congo	Morphology
mab	Maba	1	No case marking	13.750	20.833	Maban	Nilo-Saharan	Morphology
mal	Malagasy	1	No case marking	-20.000	47.000	Barito	Austronesian	Morphology
mnd	Mandarin	1	No case marking	34.000	110.000	Chinese	Sino-Tibetan	Morphology
mao	Maori	1	No case marking	-40.000	176.000	Oceanic	Austronesian	Morphology
map	Mapudungun	1	No case marking	-38.000	-72.000	Araucanian	Araucanian	Morphology
mku	Maranungku	1	No case marking	-13.667	130.000	Western Daly	Australian	Morphology
mrd	Marind	1	No case marking	-7.833	140.167	Marind Proper	Marind	Morphology
wch	Wichí	1	No case marking	-22.500	-62.583	Matacoan	Matacoan	Morphology
mau	Maung	1	No case marking	-11.917	133.500	Iwaidjan	Australian	Morphology
may	Maybrat	1	No case marking	-1.333	132.500	North-Central Bird's Head	West Papuan	Morphology
mun	Mundari	1	No case marking	23.000	84.667	Munda	Austro-Asiatic	Morphology
kho	Khoekhoe	1	No case marking	-25.500	18.000	Central Khoisan	Khoisan	Morphology
nav	Navajo	1	No case marking	36.167	-108.000	Athapaskan	Na-Dene	Morphology
ndy	Ndyuka	1	No case marking	4.500	-54.500	Creoles and Pidgins	other	Morphology
nti	Ngiti	1	No case marking	1.333	30.250	Lendu	Nilo-Saharan	Morphology
nko	Nkore-Kiga	1	No case marking	-0.917	29.833	Bantoid	Niger-Congo	Morphology
otm	Otomí (Mezquital)	1	No case marking	20.167	-99.167	Otomian	Oto-Manguean	Morphology
pms	Paamese	1	No case marking	-16.500	168.250	Oceanic	Austronesian	Morphology
psm	Passamaquoddy-Maliseet	1	No case marking	45.000	-67.000	Algonquian	Algic	Morphology
prs	Persian	1	No case marking	32.000	54.000	Iranian	Indo-European	Morphology
prh	Pirahã	1	No case marking	-7.000	-62.000	Mura	Mura	Morphology
ram	Rama	1	No case marking	11.750	-83.750	Rama	Chibchan	Morphology
rap	Rapanui	1	No case marking	-27.117	-109.367	Oceanic	Austronesian	Morphology
san	Sango	1	No case marking	5.000	18.000	Ubangi	Niger-Congo	Morphology
snm	Sanuma	1	No case marking	4.500	-64.667	Yanomam	Yanomam	Morphology
sel	Selknam	1	No case marking	-53.000	-70.000	Chon Proper	Chon	Morphology
snt	Sentani	1	No case marking	-2.583	140.583	Sentani	Sentani	Morphology
shk	Shipibo-Konibo	1	No case marking	-7.500	-75.000	Panoan	Panoan	Morphology
sla	Slave	1	No case marking	67.000	-125.000	Athapaskan	Na-Dene	Morphology
squ	Squamish	1	No case marking	49.667	-123.167	Central Salish	Salishan	Morphology
sup	Supyire	1	No case marking	11.500	-5.583	Gur	Niger-Congo	Morphology
swa	Swahili	1	No case marking	-6.500	39.000	Bantoid	Niger-Congo	Morphology
tab	Taba	1	No case marking	0.000	127.500	South Halmahera - West New Guinea	Austronesian	Morphology
tag	Tagalog	1	No case marking	15.000	121.000	Meso-Philippine	Austronesian	Morphology
bma	Berber (Middle Atlas)	1	No case marking	33.000	-5.000	Berber	Afro-Asiatic	Morphology
nht	Nahuatl (Tetelcingo)	1	No case marking	19.667	-99.000	Aztecan	Uto-Aztecan	Morphology
tha	Thai	1	No case marking	16.000	101.000	Kam-Tai	Tai-Kadai	Morphology
tiw	Tiwi	1	No case marking	-11.500	131.000	Tiwian	Australian	Morphology
tli	Tlingit	1	No case marking	59.000	-135.000	Tlingit	Na-Dene	Morphology
tuk	Tukang Besi	1	No case marking	-5.500	123.500	Sulawesi	Austronesian	Morphology
tun	Tunica	1	No case marking	32.667	-91.000	Tunica	Tunica	Morphology
ung	Ungarinjin	1	No case marking	-16.333	126.000	Wororan	Australian	Morphology
urk	Urubú-Kaapor	1	No case marking	-2.333	-46.500	Tupi-Guaraní	Tupian	Morphology
usa	Usan	1	No case marking	-4.833	145.167	Madang	Trans-New Guinea	Morphology
vie	Vietnamese	1	No case marking	10.500	106.500	Viet-Muong	Austro-Asiatic	Morphology
war	Wari'	1	No case marking	-11.333	-65.000	Chapacura-Wanham	Chapacura-Wanham	Morphology
wic	Wichita	1	No case marking	33.333	-97.333	Caddoan	Caddoan	Morphology
yag	Yagua	1	No case marking	-3.500	-72.000	Peba-Yaguan	Peba-Yaguan	Morphology
yim	Yimas	1	No case marking	-4.667	143.550	Lower Sepik	Lower Sepik-Ramu	Morphology
yuc	Yuchi	1	No case marking	35.750	-86.750	Yuchi	Yuchi	Morphology
zul	Zulu	1	No case marking	-30.000	30.000	Bantoid	Niger-Congo	Morphology
bsq	Basque	2	Core cases only	43.000	-3.000	Basque	Basque	Morphology
fij	Fijian	2	Core cases only	-17.833	178.000	Oceanic	Austronesian	Morphology
ypk	Yup'ik (Central)	2	Core cases only	59.500	-160.000	Eskimo	Eskimo-Aleut	Morphology
eng	English	2	Core cases only	52.000	0.000	Germanic	Indo-European	Morphology
orh	Oromo (Harar)	2	Core cases only	9.000	42.000	Eastern Cushitic	Afro-Asiatic	Morphology
lak	Lak	2	Core cases only	42.167	47.167	Lak-Dargwa	Nakh-Daghestanian	Morphology
myi	Mangarrayi	2	Core cases only	-14.667	133.500	Mangarrayi	Australian	Morphology
mrl	Murle	2	Core cases only	6.500	33.500	Surmic	Nilo-Saharan	Morphology
pau	Paumarí	2	Core cases only	-6.000	-64.000	Arauan	Arauan	Morphology
pit	Pitjantjatjara	2	Core cases only	-26.000	130.000	Pama-Nyungan	Australian	Morphology
sue	Suena	2	Core cases only	-7.750	147.550	Binanderean	Trans-New Guinea	Morphology
wam	Wambaya	2	Core cases only	-18.667	135.750	West Barkly	Australian	Morphology
wra	Warao	2	Core cases only	9.333	-61.667	Warao	Warao	Morphology
grw	Greenlandic (West)	2	Core cases only	64.000	-51.000	Eskimo	Eskimo-Aleut	Morphology
yaq	Yaqui	2	Core cases only	27.500	-110.250	Cahita	Uto-Aztecan	Morphology
yid	Yidiny	2	Core cases only	-17.000	145.750	Pama-Nyungan	Australian	Morphology
yko	Yukaghir (Kolyma)	2	Core cases only	65.750	150.833	Yukaghir	Yukaghir	Morphology
yur	Yurok	2	Core cases only	41.333	-124.000	Yurok	Algic	Morphology
ana	Araona	3	Core and non-core	-12.333	-67.750	Tacanan	Tacanan	Morphology
arm	Armenian (Eastern)	3	Core and non-core	40.000	45.000	Armenian	Indo-European	Morphology
bur	Burushaski	3	Core and non-core	36.500	74.500	Burushaski	Burushaski	Morphology
chk	Chukchi	3	Core and non-core	67.000	-173.000	Northern Chukotko-Kamchatkan	Chukotko-Kamchatkan	Morphology
cmn	Comanche	3	Core and non-core	33.500	-101.500	Numic	Uto-Aztecan	Morphology
fin	Finnish	3	Core and non-core	62.000	25.000	Finnic	Uralic	Morphology
fre	French	3	Core and non-core	48.000	2.000	Romance	Indo-European	Morphology
geo	Georgian	3	Core and non-core	42.000	44.000	Kartvelian	Kartvelian	Morphology
ger	German	3	Core and non-core	52.000	10.000	Germanic	Indo-European	Morphology
grk	Greek (Modern)	3	Core and non-core	39.000	22.000	Greek	Indo-European	Morphology
hin	Hindi	3	Core and non-core	25.000	77.000	Indic	Indo-European	Morphology
ing	Ingush	3	Core and non-core	43.167	45.083	Nakh	Nakh-Daghestanian	Morphology
iri	Irish	3	Core and non-core	53.000	-8.000	Celtic	Indo-European	Morphology
kay	Kayardild	3	Core and non-core	-17.050	139.500	Tangkic	Australian	Morphology
kro	Krongo	3	Core and non-core	10.500	30.000	Kadugli	Kadugli	Morphology
lat	Latvian	3	Core and non-core	57.000	24.000	Baltic	Indo-European	Morphology
lez	Lezgian	3	Core and non-core	41.667	47.833	Lezgic	Nakh-Daghestanian	Morphology
mrt	Martuthunira	3	Core and non-core	-20.833	116.500	Pama-Nyungan	Australian	Morphology
nen	Nenets	3	Core and non-core	69.000	72.000	Samoyedic	Uralic	Morphology
ngi	Ngiyambaa	3	Core and non-core	-31.750	145.500	Pama-Nyungan	Australian	Morphology
rus	Russian	3	Core and non-core	56.000	38.000	Slavic	Indo-European	Morphology
spa	Spanish	3	Core and non-core	40.000	-4.000	Romance	Indo-European	Morphology
baw	Bawm	4	No syncretism	22.500	92.250	Kuki-Chin	Sino-Tibetan	Morphology
brh	Brahui	4	No syncretism	28.500	67.000	Northern Dravidian	Dravidian	Morphology
cah	Cahuilla	4	No syncretism	33.500	-116.250	Takic	Uto-Aztecan	Morphology
zqc	Zoque (Copainalá)	4	No syncretism	17.000	-93.250	Mixe-Zoque	Mixe-Zoque	Morphology
nbd	Nubian (Dongolese)	4	No syncretism	18.250	30.750	Nubian	Nilo-Saharan	Morphology
epe	Epena Pedee	4	No syncretism	3.000	-77.000	Choco	Choco	Morphology
eve	Evenki	4	No syncretism	56.000	125.000	Tungusic	Altaic	Morphology
gar	Garo	4	No syncretism	25.667	90.500	Bodo-Garo	Sino-Tibetan	Morphology
hau	Hausa	4	No syncretism	12.000	7.000	West Chadic	Afro-Asiatic	Morphology
hun	Hungarian	4	No syncretism	47.000	20.000	Ugric	Uralic	Morphology
hzb	Hunzib	4	No syncretism	42.167	46.250	Avar-Andic-Tsezic	Nakh-Daghestanian	Morphology
ika	Ika	4	No syncretism	10.667	-73.750	Aruak	Chibchan	Morphology
imo	Imonda	4	No syncretism	-3.333	141.167	Border	Border	Morphology
knd	Kannada	4	No syncretism	14.000	76.000	Southern Dravidian	Dravidian	Morphology
ket	Ket	4	No syncretism	64.000	87.000	Yeniseian	Yeniseian	Morphology
kha	Khalkha	4	No syncretism	47.000	105.000	Mongolic	Altaic	Morphology
koa	Koasati	4	No syncretism	34.833	-85.167	Muskogean	Muskogean	Morphology
lad	Ladakhi	4	No syncretism	34.000	78.000	Bodic	Sino-Tibetan	Morphology
lep	Lepcha	4	No syncretism	27.167	88.500	Lepcha	Sino-Tibetan	Morphology
mar	Maricopa	4	No syncretism	33.167	-113.167	Yuman	Hokan	Morphology
mei	Meithei	4	No syncretism	24.750	94.000	Kuki-Chin	Sino-Tibetan	Morphology
nez	Nez Perce	4	No syncretism	46.000	-116.000	Sahaptian	Penutian	Morphology
niv	Nivkh	4	No syncretism	53.333	142.000	Nivkh	Nivkh	Morphology
nug	Nunggubuyu	4	No syncretism	-13.750	135.667	Nunggubuyu	Australian	Morphology
pai	Paiwan	4	No syncretism	22.500	120.833	Paiwanic	Austronesian	Morphology
qim	Quechua (Imbabura)	4	No syncretism	0.333	-78.000	Quechuan	Quechuan	Morphology
mss	Miwok (Southern Sierra)	4	No syncretism	37.500	-120.000	Miwok	Penutian	Morphology
pso	Pomo (Southeastern)	4	No syncretism	39.000	-122.500	Pomoan	Hokan	Morphology
tru	Trumai	4	No syncretism	-11.917	-53.583	Trumai	Trumai	Morphology
tur	Turkish	4	No syncretism	39.000	35.000	Turkic	Altaic	Morphology
una	Una	4	No syncretism	-4.667	140.000	Mek	Trans-New Guinea	Morphology
wrd	Wardaman	4	No syncretism	-15.500	131.000	Yangmanic	Australian	Morphology
hmi	Huitoto (Minica)	4	No syncretism	-0.333	-74.000	Huitoto	Huitotoan	Morphology
yor	Yoruba	4	No syncretism	8.000	4.333	Defoid	Niger-Congo	Morphology
ccp	Cocopa	4	No syncretism	32.333	-115.000	Yuman	Hokan	Morphology
