Bhat, D. N. S.. 2011. Third Person Pronouns and Demonstratives.
In: Dryer, Matthew S. & Haspelmath, Martin (eds.)
The World Atlas of Language Structures Online.
Munich: Max Planck Digital Library, feature 43A.
Available online at http://wals.info/feature/43A
Accessed on 2013-11-05.

wals code	name	value	description	latitude	longitude	genus	family	area
ain	Ainu	1	Unrelated	43.000	143.000	Ainu	Ainu	Nominal Categories
ame	Amele	1	Unrelated	-5.250	145.583	Madang	Trans-New Guinea	Nominal Categories
agm	Angami	1	Unrelated	25.667	94.500	Kuki-Chin	Sino-Tibetan	Nominal Categories
amp	Arrernte (Mparntwe)	1	Unrelated	-24.000	136.000	Pama-Nyungan	Australian	Nominal Categories
bag	Bagirmi	1	Unrelated	11.667	16.000	Bongo-Bagirmi	Nilo-Saharan	Nominal Categories
baw	Bawm	1	Unrelated	22.500	92.250	Kuki-Chin	Sino-Tibetan	Nominal Categories
brm	Burmese	1	Unrelated	21.000	96.000	Burmese-Lolo	Sino-Tibetan	Nominal Categories
ckr	Canela-Krahô	1	Unrelated	-6.000	-46.000	Ge-Kaingang	Macro-Ge	Nominal Categories
cnt	Cantonese	1	Unrelated	23.000	113.000	Chinese	Sino-Tibetan	Nominal Categories
cha	Chamorro	1	Unrelated	13.450	144.750	Chamorro	Austronesian	Nominal Categories
chk	Chukchi	1	Unrelated	67.000	-173.000	Northern Chukotko-Kamchatkan	Chukotko-Kamchatkan	Nominal Categories
cre	Cree (Plains)	1	Unrelated	54.000	-110.000	Algonquian	Algic	Nominal Categories
djr	Djaru	1	Unrelated	-18.750	128.000	Pama-Nyungan	Australian	Nominal Categories
don	Dong	1	Unrelated	27.000	109.000	Kam-Tai	Tai-Kadai	Nominal Categories
epe	Epena Pedee	1	Unrelated	3.000	-77.000	Choco	Choco	Nominal Categories
eve	Evenki	1	Unrelated	56.000	125.000	Tungusic	Altaic	Nominal Categories
fut	Futuna-Aniwa	1	Unrelated	-19.533	170.217	Oceanic	Austronesian	Nominal Categories
fij	Fijian	1	Unrelated	-17.833	178.000	Oceanic	Austronesian	Nominal Categories
fin	Finnish	1	Unrelated	62.000	25.000	Finnic	Uralic	Nominal Categories
goo	Gooniyandi	1	Unrelated	-18.333	126.333	Bunuban	Australian	Nominal Categories
gua	Guaraní	1	Unrelated	-26.000	-56.000	Tupi-Guaraní	Tupian	Nominal Categories
hau	Hausa	1	Unrelated	12.000	7.000	West Chadic	Afro-Asiatic	Nominal Categories
kho	Khoekhoe	1	Unrelated	-25.500	18.000	Central Khoisan	Khoisan	Nominal Categories
ika	Ika	1	Unrelated	10.667	-73.750	Aruak	Chibchan	Nominal Categories
imo	Imonda	1	Unrelated	-3.333	141.167	Border	Border	Nominal Categories
ind	Indonesian	1	Unrelated	0.000	106.000	Malayic	Austronesian	Nominal Categories
ing	Ingush	1	Unrelated	43.167	45.083	Nakh	Nakh-Daghestanian	Nominal Categories
irq	Iraqw	1	Unrelated	-4.000	35.500	Southern Cushitic	Afro-Asiatic	Nominal Categories
jak	Jakaltek	1	Unrelated	15.667	-91.667	Mayan	Mayan	Nominal Categories
jpn	Japanese	1	Unrelated	37.000	140.000	Japanese	Japanese	Nominal Categories
jun	Juang	1	Unrelated	21.333	86.000	Munda	Austro-Asiatic	Nominal Categories
knr	Kanuri	1	Unrelated	12.000	13.000	Western Saharan	Nilo-Saharan	Nominal Categories
kyl	Kayah Li (Eastern)	1	Unrelated	19.000	97.500	Karen	Sino-Tibetan	Nominal Categories
kew	Kewa	1	Unrelated	-6.500	143.833	Engan	Trans-New Guinea	Nominal Categories
kmu	Khmu'	1	Unrelated	21.000	102.000	Palaung-Khmuic	Austro-Asiatic	Nominal Categories
krb	Kiribati	1	Unrelated	1.333	173.000	Oceanic	Austronesian	Nominal Categories
koa	Koasati	1	Unrelated	34.833	-85.167	Muskogean	Muskogean	Nominal Categories
kob	Kobon	1	Unrelated	-5.167	144.333	Madang	Trans-New Guinea	Nominal Categories
kor	Korean	1	Unrelated	37.500	128.000	Korean	Korean	Nominal Categories
kfe	Koromfe	1	Unrelated	14.250	-0.917	Gur	Niger-Congo	Nominal Categories
kch	Koyra Chiini	1	Unrelated	17.000	-3.000	Songhay	Nilo-Saharan	Nominal Categories
kos	Kosraean	1	Unrelated	5.300	163.000	Oceanic	Austronesian	Nominal Categories
kwk	Kwakw'ala	1	Unrelated	51.000	-127.000	Northern Wakashan	Wakashan	Nominal Categories
lah	Lahu	1	Unrelated	20.000	98.167	Burmese-Lolo	Sino-Tibetan	Nominal Categories
lkt	Lakhota	1	Unrelated	43.833	-101.833	Siouan	Siouan	Nominal Categories
lan	Lango	1	Unrelated	2.167	33.000	Nilotic	Nilo-Saharan	Nominal Categories
lep	Lepcha	1	Unrelated	27.167	88.500	Lepcha	Sino-Tibetan	Nominal Categories
