Dryer, Matthew S.. 2011. Order of Adjective and Noun.
In: Dryer, Matthew S. & Haspelmath, Martin (eds.)
The World Atlas of Language Structures Online.
Munich: Max Planck Digital Library, feature 87A.
Available online at http://wals.info/feature/87A
Accessed on 2013-11-03.

wals code	name	value	description	latitude	longitude	genus	family	area
krn	Korana	1	Adjective-Noun	-29.500	20.500	Central Khoisan	Khoisan	Word Order
kho	Khoekhoe	1	Adjective-Noun	-25.500	18.000	Central Khoisan	Khoisan	Word Order
ani	//Ani	1	Adjective-Noun	-18.917	21.917	Central Khoisan	Khoisan	Word Order
kxo	Kxoe	1	Adjective-Noun	-17.500	22.500	Central Khoisan	Khoisan	Word Order
ijo	Ijo (Kolokuma)	1	Adjective-Noun	4.917	5.667	Ijoid	Niger-Congo	Word Order
gbk	Gbaya Kara	1	Adjective-Noun	6.000	15.000	Ubangi	Niger-Congo	Word Order
gbb	Gbeya Bossangoa	1	Adjective-Noun	6.667	17.500	Ubangi	Niger-Congo	Word Order
san	Sango	1	Adjective-Noun	5.000	18.000	Ubangi	Niger-Congo	Word Order
bak	Baka (in Cameroon)	1	Adjective-Noun	2.583	13.583	Ubangi	Niger-Congo	Word Order
lnd	Linda	1	Adjective-Noun	6.500	20.750	Ubangi	Niger-Congo	Word Order
zan	Zande	1	Adjective-Noun	4.000	26.000	Ubangi	Niger-Congo	Word Order
nza	Nzakara	1	Adjective-Noun	5.000	23.000	Ubangi	Niger-Congo	Word Order
bbu	Barambu	1	Adjective-Noun	3.500	27.000	Ubangi	Niger-Congo	Word Order
ma	Ma	1	Adjective-Noun	3.500	28.000	Ubangi	Niger-Congo	Word Order
gok	Gokana	1	Adjective-Noun	4.583	7.333	Cross River	Niger-Congo	Word Order
maj	Majang	1	Adjective-Noun	6.750	35.000	Surmic	Nilo-Saharan	Word Order
kre	Kresh	1	Adjective-Noun	8.500	24.500	Kresh	Nilo-Saharan	Word Order
aja	Aja	1	Adjective-Noun	7.333	25.667	Kresh	Nilo-Saharan	Word Order
bka	Baka (in Sudan)	1	Adjective-Noun	4.833	29.250	Bongo-Bagirmi	Nilo-Saharan	Word Order
ldu	Lendu	1	Adjective-Noun	2.000	30.500	Lendu	Nilo-Saharan	Word Order
nti	Ngiti	1	Adjective-Noun	1.333	30.250	Lendu	Nilo-Saharan	Word Order
shb	Shabo	1	Adjective-Noun	7.583	35.417	Shabo	Nilo-Saharan	Word Order
gud	Gude	1	Adjective-Noun	10.417	13.417	Biu-Mandara	Afro-Asiatic	Word Order
hau	Hausa	1	Adjective-Noun	12.000	7.000	West Chadic	Afro-Asiatic	Word Order
paa	Pa'a	1	Adjective-Noun	11.000	9.250	West Chadic	Afro-Asiatic	Word Order
wly	Wolaytta	1	Adjective-Noun	6.833	37.750	North Omotic	Afro-Asiatic	Word Order
