Brown, Cecil H.. 2011. Finger and Hand.
In: Dryer, Matthew S. & Haspelmath, Martin (eds.)
The World Atlas of Language Structures Online.
Munich: Max Planck Digital Library, feature 130A.
Available online at http://wals.info/feature/130A
Accessed on 2013-11-05.

wals code	name	value	description	latitude	longitude	genus	family	area
amc	Amahuaca	1	Identical	-10.500	-72.500	Panoan	Panoan	Lexicon
crj	Carijona	1	Identical	1.000	-73.000	Cariban	Cariban	Lexicon
chy	Chayahuita	1	Identical	-5.500	-77.000	Cahuapanan	Cahuapanan	Lexicon
jiv	Jivaro	1	Identical	-2.500	-78.000	Jivaroan	Jivaroan	Lexicon
jva	Javaé	1	Identical	-10.000	-50.333	Karajá	Macro-Ge	Lexicon
muu	Mundurukú	1	Identical	-7.000	-58.000	Munduruku	Tupian	Lexicon
urk	Urubú-Kaapor	1	Identical	-2.333	-46.500	Tupi-Guaraní	Tupian	Lexicon
ykp	Yukpa	1	Identical	10.167	-72.750	Cariban	Cariban	Lexicon
xok	Xokleng	1	Identical	-24.500	-50.000	Ge-Kaingang	Macro-Ge	Lexicon
haw	Hawaiian	1	Identical	19.583	-155.500	Oceanic	Austronesian	Lexicon
tah	Tahitian	1	Identical	-17.667	-149.583	Oceanic	Austronesian	Lexicon
tua	Tuamotuan	1	Identical	-17.000	-144.000	Oceanic	Austronesian	Lexicon
apw	Apache (Western)	1	Identical	33.750	-110.000	Athapaskan	Na-Dene	Lexicon
atk	Atakapa	1	Identical	30.000	-93.500	Atakapa	Atakapa	Lexicon
ati	Atikamekw	1	Identical	48.000	-74.000	Algonquian	Algic	Lexicon
beo	Beothuk	1	Identical	48.000	-57.000	Beothuk	Beothuk	Lexicon
cah	Cahuilla	1	Identical	33.500	-116.250	Takic	Uto-Aztecan	Lexicon
ccp	Cocopa	1	Identical	32.333	-115.000	Yuman	Hokan	Lexicon
die	Diegueño (Mesa Grande)	1	Identical	32.667	-116.167	Yuman	Hokan	Lexicon
hup	Hupa	1	Identical	41.083	-123.667	Athapaskan	Na-Dene	Lexicon
inu	Iñupiaq	1	Identical	67.000	-161.000	Eskimo	Eskimo-Aleut	Lexicon
kls	Kalispel	1	Identical	48.000	-117.000	Interior Salish	Salishan	Lexicon
kkw	Karankawa	1	Identical	28.000	-97.000	Karankawa	Karankawa	Lexicon
krk	Karok	1	Identical	41.667	-123.000	Karok	Karok	Lexicon
ksa	Keresan (Santa Ana)	1	Identical	35.417	-106.667	Keresan	Keresan	Lexicon
mwn	Miwok (Northern Sierra)	1	Identical	38.333	-120.667	Miwok	Penutian	Lexicon
mwp	Miwok (Plains)	1	Identical	38.000	-121.000	Miwok	Penutian	Lexicon
moh	Mohawk	1	Identical	43.500	-74.250	Northern Iroquoian	Iroquoian	Lexicon
nat	Natchez	1	Identical	31.750	-91.333	Natchez	Natchez	Lexicon
nav	Navajo	1	Identical	36.167	-108.000	Athapaskan	Na-Dene	Lexicon
nez	Nez Perce	1	Identical	46.000	-116.000	Sahaptian	Penutian	Lexicon
ojm	Ojibwe (Minnesota)	1	Identical	47.667	-92.500	Algonquian	Algic	Lexicon
ond	Oneida	1	Identical	43.000	-75.667	Northern Iroquoian	Iroquoian	Lexicon
onn	Onondaga	1	Identical	42.750	-76.167	Northern Iroquoian	Iroquoian	Lexicon
qui	Quileute	1	Identical	47.917	-124.250	Chimakuan	Chimakuan	Lexicon
snc	Seneca	1	Identical	42.500	-77.500	Northern Iroquoian	Iroquoian	Lexicon
shs	Shasta	1	Identical	41.833	-122.667	Shasta	Hokan	Lexicon
tho	Thompson	1	Identical	49.750	-121.750	Interior Salish	Salishan	Lexicon
tun	Tunica	1	Identical	32.667	-91.000	Tunica	Tunica	Lexicon
win	Wintu	1	Identical	41.000	-122.500	Wintuan	Penutian	Lexicon
wnb	Winnebago	1	Identical	43.500	-88.500	Siouan	Siouan	Lexicon
yan	Yana	1	Identical	40.500	-122.000	Yana	Hokan	Lexicon
ygr	Yagaria	1	Identical	-6.333	145.417	Eastern Highlands	Trans-New Guinea	Lexicon
cmc	Comecrudo	1	Identical	25.833	-99.000	Comecrudan	Comecrudan	Lexicon
eud	Eudeve	1	Identical	29.167	-109.667	Cahita	Uto-Aztecan	Lexicon
