Dryer, Matthew S.. 2011. Languages with two Dominant Orders of Subject, Object, and Verb.
In: Dryer, Matthew S. & Haspelmath, Martin (eds.)
The World Atlas of Language Structures Online.
Munich: Max Planck Digital Library, feature 81B.
Available online at http://wals.info/feature/81B
Accessed on 2013-11-05.

wals code	name	value	description	latitude	longitude	genus	family	area
lug	Lugbara	1	SOV or SVO	3.083	30.917	Moru-Ma'di	Nilo-Saharan	Word Order
cai	Chai	1	SOV or SVO	5.333	35.333	Surmic	Nilo-Saharan	Word Order
dgo	Dongo	1	SOV or SVO	3.000	30.000	Ubangi	Niger-Congo	Word Order
ina	Inanwatan	1	SOV or SVO	-2.083	132.083	South Bird's Head	Marind	Word Order
gwa	Gwari	1	SOV or SVO	9.500	7.000	Nupoid	Niger-Congo	Word Order
pnx	Panará	1	SOV or SVO	-10.000	-55.000	Ge-Kaingang	Macro-Ge	Word Order
fri	Frisian	1	SOV or SVO	53.000	5.000	Germanic	Indo-European	Word Order
arm	Armenian (Eastern)	1	SOV or SVO	40.000	45.000	Armenian	Indo-European	Word Order
dam	Damana	1	SOV or SVO	11.000	-73.500	Aruak	Chibchan	Word Order
ney	Neyo	1	SOV or SVO	5.000	-6.000	Kru	Niger-Congo	Word Order
kwz	Kwazá	1	SOV or SVO	-12.583	-60.667	Kwaza	Kwaza	Word Order
tru	Trumai	1	SOV or SVO	-11.917	-53.583	Trumai	Trumai	Word Order
twn	Tiwa (Northern)	1	SOV or SVO	36.500	-105.500	Kiowa-Tanoan	Kiowa-Tanoan	Word Order
avo	Avokaya	1	SOV or SVO	4.667	30.000	Moru-Ma'di	Nilo-Saharan	Word Order
ajg	Ajagbe	1	SOV or SVO	7.000	1.750	Kwa	Niger-Congo	Word Order
kis	Kisi	1	SOV or SVO	8.833	-10.167	Southern Atlantic	Niger-Congo	Word Order
ddj	Dadjriwalé	1	SOV or SVO	5.250	-5.667	Kru	Niger-Congo	Word Order
nue	Nuer	1	SOV or SVO	8.333	32.000	Nilotic	Nilo-Saharan	Word Order
mad	Ma'di	1	SOV or SVO	3.250	31.500	Moru-Ma'di	Nilo-Saharan	Word Order
nti	Ngiti	1	SOV or SVO	1.333	30.250	Lendu	Nilo-Saharan	Word Order
hun	Hungarian	1	SOV or SVO	47.000	20.000	Ugric	Uralic	Word Order
din	Dinka	1	SOV or SVO	8.500	28.000	Nilotic	Nilo-Saharan	Word Order
ger	German	1	SOV or SVO	52.000	10.000	Germanic	Indo-European	Word Order
lgt	Logoti	1	SOV or SVO	3.500	30.000	Moru-Ma'di	Nilo-Saharan	Word Order
mou	Moru	1	SOV or SVO	4.750	29.750	Moru-Ma'di	Nilo-Saharan	Word Order
pok	Poko-Rawo	1	SOV or SVO	-2.833	141.583	Serra Hills	Skou	Word Order
dut	Dutch	1	SOV or SVO	52.500	6.000	Germanic	Indo-European	Word Order
ton	Tonkawa	1	SOV or SVO	30.250	-96.750	Tonkawa	Tonkawa	Word Order
ldu	Lendu	1	SOV or SVO	2.000	30.500	Lendu	Nilo-Saharan	Word Order
mov	Movima	2	VSO or VOS	-13.833	-65.667	Movima	Movima	Word Order
ami	Amis	2	VSO or VOS	23.333	121.333	Paiwanic	Austronesian	Word Order
fij	Fijian	2	VSO or VOS	-17.833	178.000	Oceanic	Austronesian	Word Order
tng	Tongan	2	VSO or VOS	-21.167	-175.167	Oceanic	Austronesian	Word Order
sml	Semelai	2	VSO or VOS	3.000	103.000	Aslian	Austro-Asiatic	Word Order
ruk	Rukai	2	VSO or VOS	22.833	120.833	Tsouic	Austronesian	Word Order
kut	Kutenai	2	VSO or VOS	49.500	-116.000	Kutenai	Kutenai	Word Order
nuu	Nuuchahnulth	2	VSO or VOS	49.667	-126.667	Southern Wakashan	Wakashan	Word Order
tho	Thompson	2	VSO or VOS	49.750	-121.750	Interior Salish	Salishan	Word Order
oji	Ojibwa (Eastern)	2	VSO or VOS	46.000	-80.000	Algonquian	Algic	Word Order
sam	Samoan	2	VSO or VOS	-13.917	-171.833	Oceanic	Austronesian	Word Order
pai	Paiwan	2	VSO or VOS	22.500	120.833	Paiwanic	Austronesian	Word Order
