Kay, Paul & Maffi, Luisa. 2011. Green and Blue.
In: Dryer, Matthew S. & Haspelmath, Martin (eds.)
The World Atlas of Language Structures Online.
Munich: Max Planck Digital Library, feature 134A.
Available online at http://wals.info/feature/134A
Accessed on 2013-11-05.

wals code	name	value	description	latitude	longitude	genus	family	area
amz	Amuzgo	1	Green vs. blue	16.833	-98.000	Amuzgoan	Oto-Manguean	Lexicon
ant	Angaatiha	1	Green vs. blue	-7.217	146.250	Angan	Trans-New Guinea	Lexicon
bgl	Buglere	1	Green vs. blue	8.500	-81.250	Guaymi	Chibchan	Lexicon
cak	Cakchiquel	1	Green vs. blue	14.500	-91.000	Mayan	Mayan	Lexicon
cam	Camsá	1	Green vs. blue	1.167	-77.000	Camsá	Camsá	Lexicon
can	Candoshi	1	Green vs. blue	-4.167	-77.000	Candoshi	Candoshi	Lexicon
cvc	Chavacano	1	Green vs. blue	7.000	122.083	Creoles and Pidgins	other	Lexicon
cqt	Chiquitano	1	Green vs. blue	-17.500	-60.000	Chiquito	Chiquito	Lexicon
cum	Chumburung	1	Green vs. blue	7.750	0.250	Kwa	Niger-Congo	Lexicon
ndy	Ndyuka	1	Green vs. blue	4.500	-54.500	Creoles and Pidgins	other	Lexicon
dym	Dyimini	1	Green vs. blue	8.417	-4.417	Gur	Niger-Congo	Lexicon
grf	Garífuna	1	Green vs. blue	15.667	-88.000	Arawakan	Arawakan	Lexicon
nbr	Ngäbere	1	Green vs. blue	8.667	-82.000	Guaymi	Chibchan	Lexicon
hve	Huave (San Mateo del Mar)	1	Green vs. blue	16.217	-95.000	Huavean	Huavean	Lexicon
kkz	Kokni	1	Green vs. blue	20.750	73.500	Indic	Indo-European	Lexicon
knq	Kriol (Ngukurr)	1	Green vs. blue	-14.833	135.000	Creoles and Pidgins	other	Lexicon
maz	Mazahua	1	Green vs. blue	19.417	-99.917	Otomian	Oto-Manguean	Lexicon
mic	Micmac	1	Green vs. blue	45.000	-63.000	Algonquian	Algic	Lexicon
nhn	Nahuatl (North Puebla)	1	Green vs. blue	20.000	-98.250	Aztecan	Uto-Aztecan	Lexicon
sla	Slave	1	Green vs. blue	67.000	-125.000	Athapaskan	Na-Dene	Lexicon
ykn	Yakan	1	Green vs. blue	6.500	122.000	Sama-Bajaw	Austronesian	Lexicon
arl	Arabic (Lebanese)	1	Green vs. blue	34.000	36.000	Semitic	Afro-Asiatic	Lexicon
eng	English	1	Green vs. blue	52.000	0.000	Germanic	Indo-European	Lexicon
fre	French	1	Green vs. blue	48.000	2.000	Romance	Indo-European	Lexicon
