Goedemans, Rob & van der Hulst, Harry. 2011. Fixed Stress Locations.
In: Dryer, Matthew S. & Haspelmath, Martin (eds.)
The World Atlas of Language Structures Online.
Munich: Max Planck Digital Library, feature 14A.
Available online at http://wals.info/feature/14A
Accessed on 2013-11-05.

wals code	name	value	description	latitude	longitude	genus	family	area
abk	Abkhaz	1	No fixed stress	43.083	41.000	Northwest Caucasian	Northwest Caucasian	Phonology
agu	Aguacatec	1	No fixed stress	15.417	-91.333	Mayan	Mayan	Phonology
akl	Aklanon	1	No fixed stress	11.583	122.333	Meso-Philippine	Austronesian	Phonology
ala	Alamblak	1	No fixed stress	-4.667	143.333	Sepik Hill	Sepik	Phonology
sea	Southeast Ambrym	1	No fixed stress	-16.300	168.217	Oceanic	Austronesian	Phonology
ame	Amele	1	No fixed stress	-5.250	145.583	Madang	Trans-New Guinea	Phonology
apu	Apurinã	1	No fixed stress	-9.000	-67.000	Arawakan	Arawakan	Phonology
arh	Arabic (Hijazi)	1	No fixed stress	26.000	38.000	Semitic	Afro-Asiatic	Phonology
abe	Arabic (Beirut)	1	No fixed stress	33.917	35.500	Semitic	Afro-Asiatic	Phonology
asy	Arabic (Syrian)	1	No fixed stress	34.000	38.000	Semitic	Afro-Asiatic	Phonology
aeg	Arabic (Egyptian)	1	No fixed stress	30.000	31.000	Semitic	Afro-Asiatic	Phonology
arg	Arabic (Gulf)	1	No fixed stress	26.000	49.000	Semitic	Afro-Asiatic	Phonology
arl	Arabic (Lebanese)	1	No fixed stress	34.000	36.000	Semitic	Afro-Asiatic	Phonology
ael	Arabic (Eastern Libyan)	1	No fixed stress	32.000	22.000	Semitic	Afro-Asiatic	Phonology
arv	Arabic (Negev)	1	No fixed stress	30.500	34.750	Semitic	Afro-Asiatic	Phonology
apa	Arabic (Palestinian)	1	No fixed stress	32.000	35.250	Semitic	Afro-Asiatic	Phonology
arc	Archi	1	No fixed stress	42.000	46.833	Lezgic	Nakh-Daghestanian	Phonology
arm	Armenian (Eastern)	1	No fixed stress	40.000	45.000	Armenian	Indo-European	Phonology
au	Au	1	No fixed stress	-3.583	142.083	Wapei-Palei	Torricelli	Phonology
ndy	Ndyuka	1	No fixed stress	4.500	-54.500	Creoles and Pidgins	other	Phonology
ava	Avar	1	No fixed stress	42.500	46.500	Avar-Andic-Tsezic	Nakh-Daghestanian	Phonology
awd	Awadhi	1	No fixed stress	27.500	81.500	Indic	Indo-European	Phonology
bgv	Bagvalal	1	No fixed stress	42.583	46.167	Avar-Andic-Tsezic	Nakh-Daghestanian	Phonology
bna	Banawá	1	No fixed stress	-7.000	-65.000	Arauan	Arauan	Phonology
bgg	Banggai	1	No fixed stress	-1.417	123.167	Sulawesi	Austronesian	Phonology
ahs	Arabic (Bani-Hassan)	1	No fixed stress	20.000	-10.000	Semitic	Afro-Asiatic	Phonology
bqi	Basque (Basaburua and Imoz)	1	No fixed stress	43.000	-1.667	Basque	Basque	Phonology
bqg	Basque (Gernica)	1	No fixed stress	43.333	-3.000	Basque	Basque	Phonology
bqh	Basque (Hondarribia)	1	No fixed stress	42.500	-3.000	Basque	Basque	Phonology
bso	Basque (Souletin)	1	No fixed stress	43.500	-1.500	Basque	Basque	Phonology
bqz	Basque (Zeberio)	1	No fixed stress	42.000	-3.000	Basque	Basque	Phonology
bej	Beja	1	No fixed stress	18.000	36.000	Beja	Afro-Asiatic	Phonology
meb	Melayu Betawi	1	No fixed stress	-6.500	107.000	Creoles and Pidgins	other	Phonology
bho	Bhojpuri	1	No fixed stress	26.000	84.000	Indic	Indo-European	Phonology
mun	Mundari	1	No fixed stress	23.000	84.667	Munda	Austro-Asiatic	Phonology
bkl	Bikol	1	No fixed stress	13.333	123.500	Meso-Philippine	Austronesian	Phonology
bui	Buli (in Indonesia)	1	No fixed stress	1.000	128.500	South Halmahera - West New Guinea	Austronesian	Phonology
bur	Burushaski	1	No fixed stress	36.500	74.500	Burushaski	Burushaski	Phonology
cpa	Campa Pajonal Asheninca	1	No fixed stress	-10.667	-74.250	Arawakan	Arawakan	Phonology
cap	Capanahua	1	No fixed stress	-7.000	-74.000	Panoan	Panoan	Phonology
car	Carib	1	No fixed stress	5.500	-56.000	Cariban	Cariban	Phonology
ctl	Catalan	1	No fixed stress	41.750	2.000	Romance	Indo-European	Phonology
cyg	Cayuga	1	No fixed stress	42.750	-76.750	Northern Iroquoian	Iroquoian	Phonology
ceb	Cebuano	1	No fixed stress	10.000	124.000	Meso-Philippine	Austronesian	Phonology
cha	Chamorro	1	No fixed stress	13.450	144.750	Chamorro	Austronesian	Phonology
cle	Chinantec (Lealao)	1	No fixed stress	17.333	-95.917	Chinantecan	Oto-Manguean	Phonology
mnd	Mandarin	1	No fixed stress	34.000	110.000	Chinese	Sino-Tibetan	Phonology
cct	Choctaw	1	No fixed stress	32.250	-88.500	Muskogean	Muskogean	Phonology
chv	Chuvash	1	No fixed stress	55.500	47.500	Turkic	Altaic	Phonology
cub	Cubeo	1	No fixed stress	1.333	-70.500	Tucanoan	Tucanoan	Phonology
dsh	Danish	1	No fixed stress	56.000	10.000	Germanic	Indo-European	Phonology
des	Desano	1	No fixed stress	0.833	-69.833	Tucanoan	Tucanoan	Phonology
dhu	Dhurga	1	No fixed stress	-35.667	150.000	Pama-Nyungan	Australian	Phonology
dut	Dutch	1	No fixed stress	52.500	6.000	Germanic	Indo-European	Phonology
eka	Ekari	1	No fixed stress	-3.833	135.500	Wissel Lakes-Kemandoga	Trans-New Guinea	Phonology
epe	Epena Pedee	1	No fixed stress	3.000	-77.000	Choco	Choco	Phonology
emc	Embera Chami	1	No fixed stress	5.000	-76.000	Choco	Choco	Phonology
eng	English	1	No fixed stress	52.000	0.000	Germanic	Indo-European	Phonology
eve	Evenki	1	No fixed stress	56.000	125.000	Tungusic	Altaic	Phonology
fij	Fijian	1	No fixed stress	-17.833	178.000	Oceanic	Austronesian	Phonology
for	Fore	1	No fixed stress	-6.750	145.500	Eastern Highlands	Trans-New Guinea	Phonology
fre	French	1	No fixed stress	48.000	2.000	Romance	Indo-European	Phonology
irm	Irish (Munster)	1	No fixed stress	52.500	-9.000	Celtic	Indo-European	Phonology
gay	Gayo	1	No fixed stress	4.500	97.500	Gayo	Austronesian	Phonology
ger	German	1	No fixed stress	52.000	10.000	Germanic	Indo-European	Phonology
god	Godoberi	1	No fixed stress	42.667	46.083	Avar-Andic-Tsezic	Nakh-Daghestanian	Phonology
gor	Gorowa	1	No fixed stress	-4.500	36.500	Southern Cushitic	Afro-Asiatic	Phonology
grb	Grebo	1	No fixed stress	5.000	-8.000	Kru	Niger-Congo	Phonology
guj	Gujarati	1	No fixed stress	23.000	72.000	Indic	Indo-European	Phonology
coo	Coos (Hanis)	1	No fixed stress	43.500	-124.167	Coosan	Oregon Coast	Phonology
hin	Hindi	1	No fixed stress	25.000	77.000	Indic	Indo-European	Phonology
hix	Hixkaryana	1	No fixed stress	-1.000	-59.000	Cariban	Cariban	Phonology
hop	Hopi	1	No fixed stress	36.000	-110.000	Hopi	Uto-Aztecan	Phonology
htc	Huastec	1	No fixed stress	22.083	-99.333	Mayan	Mayan	Phonology
hzb	Hunzib	1	No fixed stress	42.167	46.250	Avar-Andic-Tsezic	Nakh-Daghestanian	Phonology
iga	Inga	1	No fixed stress	1.000	-77.000	Quechuan	Quechuan	Phonology
irq	Iraqw	1	No fixed stress	-4.000	35.500	Southern Cushitic	Afro-Asiatic	Phonology
ita	Italian	1	No fixed stress	43.000	12.000	Romance	Indo-European	Phonology
djr	Djaru	1	No fixed stress	-18.750	128.000	Pama-Nyungan	Australian	Phonology
jav	Javanese	1	No fixed stress	-7.000	111.000	Javanese	Austronesian	Phonology
yuw	Yuwaalaraay	1	No fixed stress	-29.500	148.000	Pama-Nyungan	Australian	Phonology
kra	Kara (in Papua New Guinea)	1	No fixed stress	-2.833	151.117	Oceanic	Austronesian	Phonology
bkr	Batak (Karo)	1	No fixed stress	3.250	98.250	Sumatra	Austronesian	Phonology
krk	Karok	1	No fixed stress	41.667	-123.000	Karok	Karok	Phonology
ksh	Kashaya	1	No fixed stress	38.667	-123.333	Pomoan	Hokan	Phonology
kaj	Kaure	1	No fixed stress	-3.417	140.083	Kaure	Kaure	Phonology
kws	Kawaiisu	1	No fixed stress	36.000	-117.500	Numic	Uto-Aztecan	Phonology
nbd	Nubian (Dongolese)	1	No fixed stress	18.250	30.750	Nubian	Nilo-Saharan	Phonology
ker	Kera	1	No fixed stress	9.833	15.083	East Chadic	Afro-Asiatic	Phonology
ktn	Ketengban	1	No fixed stress	-4.500	140.500	Mek	Trans-New Guinea	Phonology
kew	Kewa	1	No fixed stress	-6.500	143.833	Engan	Trans-New Guinea	Phonology
klv	Kilivila	1	No fixed stress	-8.500	151.083	Oceanic	Austronesian	Phonology
kit	Kitsai	1	No fixed stress	31.833	-96.500	Caddoan	Caddoan	Phonology
klm	Klamath	1	No fixed stress	42.500	-121.500	Klamath-Modoc	Penutian	Phonology
koa	Koasati	1	No fixed stress	34.833	-85.167	Muskogean	Muskogean	Phonology
kop	Komi-Permyak	1	No fixed stress	59.500	54.500	Permic	Uralic	Phonology
kro	Krongo	1	No fixed stress	10.500	30.000	Kadugli	Kadugli	Phonology
kuz	Kulamanen	1	No fixed stress	7.750	125.000	Southern Philippines	Austronesian	Phonology
knm	Kunama	1	No fixed stress	14.500	37.000	Kunama	Nilo-Saharan	Phonology
kuu	Kuuku Ya'u	1	No fixed stress	-12.583	143.083	Pama-Nyungan	Australian	Phonology
kwk	Kwakw'ala	1	No fixed stress	51.000	-127.000	Northern Wakashan	Wakashan	Phonology
lmh	Lamaholot	1	No fixed stress	-8.250	122.917	Central Malayo-Polynesian	Austronesian	Phonology
lar	Laragia	1	No fixed stress	-12.667	130.833	Laragiyan	Australian	Phonology
let	Leti	1	No fixed stress	-8.200	127.667	Central Malayo-Polynesian	Austronesian	Phonology
lez	Lezgian	1	No fixed stress	41.667	47.833	Lezgic	Nakh-Daghestanian	Phonology
lit	Lithuanian	1	No fixed stress	55.000	24.000	Baltic	Indo-European	Phonology
lui	Luiseño	1	No fixed stress	33.333	-117.167	Takic	Uto-Aztecan	Phonology
mne	Maidu (Northeast)	1	No fixed stress	40.000	-120.667	Maiduan	Penutian	Phonology
mrs	Mairasi	1	No fixed stress	-3.500	134.000	Mairasi-Tanahmerah	Trans-New Guinea	Phonology
mai	Maithili	1	No fixed stress	26.000	86.000	Indic	Indo-European	Phonology
mak	Makah	1	No fixed stress	48.333	-124.667	Southern Wakashan	Wakashan	Phonology
mlc	Malacca Creole	1	No fixed stress	2.200	102.250	Creoles and Pidgins	other	Phonology
mly	Malay	1	No fixed stress	3.000	102.000	Malayic	Austronesian	Phonology
mym	Malayalam	1	No fixed stress	10.000	76.500	Southern Dravidian	Dravidian	Phonology
mlt	Maltese	1	No fixed stress	35.917	14.417	Semitic	Afro-Asiatic	Phonology
mam	Mam	1	No fixed stress	15.000	-91.833	Mayan	Mayan	Phonology
mnm	Manam	1	No fixed stress	-4.000	145.000	Oceanic	Austronesian	Phonology
mng	Manggarai	1	No fixed stress	-8.500	120.333	Central Malayo-Polynesian	Austronesian	Phonology
mao	Maori	1	No fixed stress	-40.000	176.000	Oceanic	Austronesian	Phonology
mah	Mari (Hill)	1	No fixed stress	57.000	58.000	Mari	Uralic	Phonology
mme	Mari (Meadow)	1	No fixed stress	57.000	48.000	Mari	Uralic	Phonology
hno	Haida (Northern)	1	No fixed stress	54.000	-132.500	Haida	Haida	Phonology
mdm	Madimadi	1	No fixed stress	-34.500	143.500	Pama-Nyungan	Australian	Phonology
mea	Meyah	1	No fixed stress	-1.167	133.500	East Bird's Head	East Bird's Head	Phonology
men	Menomini	1	No fixed stress	45.500	-88.333	Algonquian	Algic	Phonology
die	Diegueño (Mesa Grande)	1	No fixed stress	32.667	-116.167	Yuman	Hokan	Phonology
mcs	Miwok (Central Sierra)	1	No fixed stress	38.000	-120.333	Miwok	Penutian	Phonology
mwn	Miwok (Northern Sierra)	1	No fixed stress	38.333	-120.667	Miwok	Penutian	Phonology
mss	Miwok (Southern Sierra)	1	No fixed stress	37.500	-120.000	Miwok	Penutian	Phonology
mmo	Mordvin (Moksha)	1	No fixed stress	54.000	44.000	Mordvin	Uralic	Phonology
kha	Khalkha	1	No fixed stress	47.000	105.000	Mongolic	Altaic	Phonology
mlk	Malakmalak	1	No fixed stress	-13.417	130.417	Northern Daly	Australian	Phonology
mse	Munsee	1	No fixed stress	41.500	-74.667	Algonquian	Algic	Phonology
prh	Pirahã	1	No fixed stress	-7.000	-62.000	Mura	Mura	Phonology
mrk	Murik	1	No fixed stress	-3.833	144.250	Lower Sepik	Lower Sepik-Ramu	Phonology
mrl	Murle	1	No fixed stress	6.500	33.500	Surmic	Nilo-Saharan	Phonology
mrw	Muruwari	1	No fixed stress	-28.750	147.000	Pama-Nyungan	Australian	Phonology
crk	Creek	1	No fixed stress	34.000	-85.000	Muskogean	Muskogean	Phonology
nep	Nepali	1	No fixed stress	28.000	85.000	Indic	Indo-European	Phonology
nez	Nez Perce	1	No fixed stress	46.000	-116.000	Sahaptian	Penutian	Phonology
ngd	Ngad'a	1	No fixed stress	-8.833	121.000	Central Malayo-Polynesian	Austronesian	Phonology
ung	Ungarinjin	1	No fixed stress	-16.333	126.000	Wororan	Australian	Phonology
yun	Yup'ik (Norton Sound)	1	No fixed stress	64.000	-161.000	Eskimo	Eskimo-Aleut	Phonology
nor	Norwegian	1	No fixed stress	61.000	8.000	Germanic	Indo-European	Phonology
nya	Nyawaygi	1	No fixed stress	-19.000	146.167	Pama-Nyungan	Australian	Phonology
obk	Obokuitai	1	No fixed stress	-3.000	138.000	Lakes Plain	Lakes Plain	Phonology
oss	Ossetic	1	No fixed stress	43.000	44.000	Iranian	Indo-European	Phonology
oto	Oto	1	No fixed stress	40.500	-96.000	Siouan	Siouan	Phonology
psh	Pashto	1	No fixed stress	33.000	67.000	Iranian	Indo-European	Phonology
psm	Passamaquoddy-Maliseet	1	No fixed stress	45.000	-67.000	Algonquian	Algic	Phonology
